run	log_tbg	log_alphap	log_betap	b14D6_log_P	b14D6_weight	b14D7_log_P	b14D7_weight	b14D8_log_P	b14D8_weight	b15A2_log_P	b15A2_weight	b15A3_log_P	b15A3_weight	b15A5_log_P	b15A5_weight	b15A6_log_P	b15A6_weight	b15A7_log_P	b15A7_weight	b15A9_log_P	b15A9_weight	b15B1_log_P	b15B1_weight	b15B2_log_P	b15B2_weight	b15B3_log_P	b15B3_weight	b15B4_log_P	b15B4_weight	b15B5_log_P	b15B5_weight	b15B6_log_P	b15B6_weight	b15B7_log_P	b15B7_weight	b15B8_log_P	b15B8_weight	b15B9_log_P	b15B9_weight	b15C1_log_P	b15C1_weight	b15C2_log_P	b15C2_weight	b15C5_log_P	b15C5_weight
fit	-5.821839388393955	5.170730745017421	0.14505619331286007	-5.160280957414528	1.0	-5.155268868891449	1.0	-5.191616942939099	1.0	-6.585699570877866	1.0	-5.619319952847294	1.0	-4.1725471338464	1.0	-3.232805892162332	1.0	-3.6816615705190197	1.0	-6.470975992898256	1.0	-10.607563906588675	1.0	-8.121031080532395	1.0	-6.878558363849575	1.0	-2.5495711931987857	1.0	-4.10115238815314	1.0	-10.25006807519845	1.0	-4.074638291987468	1.0	-6.838087134422718	1.0	-10.226729824748638	1.0	-5.676486399341106	1.0	-7.0890999715685155	1.0	-5.191243222026622	1.0
samp_00	-5.685275355297824	4.9387249340028925	0.27954285785131494	-5.162731437918936	1.0	-5.160692952747956	1.0	-5.19559265727721	1.0	-6.5610264441217145	2.0	-5.618664324326591	2.0	-4.186583065826038	4.0	-3.253089774522429	1.0		0.0		0.0		0.0	-8.08177005975835	2.0	-6.860157251025774	2.0		0.0	-4.1278977581352825	2.0		0.0		0.0	-6.812275411511936	1.0		0.0	-5.680486376382398	1.0	-7.062371675475181	1.0		0.0
samp_01	-5.808832830413747	5.174219978891123	0.16500396107813922		0.0	-5.164700644003726	1.0	-5.201158475705139	1.0		0.0	-5.63052322927824	3.0		0.0	-3.2356118530272653	1.0	-3.685685781049343	1.0	-6.484437889373585	2.0	-10.630412320133578	1.0	-8.141233907763851	3.0		0.0		0.0		0.0	-10.27825383771869	1.0	-4.079897756465246	1.0		0.0	-10.251813305554364	1.0	-5.688162879094764	1.0	-7.105073191320326	2.0	-5.200534220951741	2.0
samp_02	-6.521333494769743	5.183554623706607	0.1361843216635792	-5.147250477017707	2.0	-5.141568642453223	1.0	-5.177768565578781	2.0	-6.550583846058977	2.0		0.0	-4.16590559876798	1.0		0.0	-3.675465082428807	2.0	-6.437614714721738	1.0	-10.525361173531238	2.0		0.0	-6.814412351518487	1.0	-2.547369959501785	1.0		0.0		0.0		0.0	-6.791153258487035	1.0		0.0	-5.652668907843266	1.0	-7.026838897019402	2.0	-5.17950336036627	2.0
samp_03	-5.389016696164424	5.341814848318862	0.02084910942026425	-5.162153219296444	1.0		0.0	-5.19281716966586	1.0	-6.631357426766196	2.0	-5.629207268126452	4.0		0.0	-3.222013856017604	1.0	-3.6626726092341637	1.0		0.0		0.0	-8.23952418775808	2.0	-6.954728162161575	2.0	-2.5423038825048963	1.0		0.0	-10.384914047560228	2.0		0.0	-6.897928757090078	1.0	-10.32723542627813	1.0	-5.685881284250199	1.0	-7.166567436794838	1.0		0.0
samp_04	-5.811163379692936	5.106665166356901	0.1282415306752066	-5.138252519887746	1.0		0.0		0.0	-6.547499268041426	2.0	-5.592572577235137	2.0	-4.161555396245978	2.0	-3.229868070687333	1.0	-3.6786983447650403	2.0	-6.433979474378183	2.0		0.0	-8.065154454431692	1.0	-6.837152821358369	3.0	-2.548316250609736	1.0		0.0		0.0	-4.064494005357422	1.0		0.0	-10.14977947872539	3.0		0.0		0.0		0.0
samp_05	-5.855313657577167	5.199188584923917	0.08491515684582511	-5.141670259438393	1.0	-5.1360633373961635	2.0		0.0	-6.56306133761319	1.0	-5.597479722859628	3.0		0.0	-3.2248872285895027	2.0	-3.6695481374135133	1.0	-6.448341669945582	1.0	-10.575273224811495	3.0	-8.089715038877955	1.0	-6.851266610002493	1.0		0.0		0.0	-10.207237392548286	3.0		0.0	-6.813872067956797	1.0		0.0		0.0	-7.063066939270856	1.0		0.0
samp_06	-5.734187420511732	5.504354218324962	-0.03576791828997147		0.0		0.0		0.0	-6.640860205321133	3.0		0.0		0.0	-3.2160242920311326	2.0	-3.650057964998329	2.0	-6.520431515741916	2.0		0.0	-8.243710796295112	4.0		0.0	-2.538332644892956	1.0	-4.0760124666348	2.0		0.0		0.0		0.0	-10.387976234850795	2.0	-5.676651051835484	2.0		0.0	-5.202978547609087	1.0
samp_07	-6.20244654648257	4.858565719089992	0.3432562172986445	-5.158218555792643	1.0		0.0	-5.190924000562135	1.0		0.0	-5.606876221404259	2.0	-4.191341820636071	2.0		0.0		0.0	-6.419253065228419	1.0	-10.464290928643742	1.0	-7.983066328191349	1.0	-6.80451066033169	1.0		0.0	-4.136974037279649	3.0		0.0	-4.093987328816551	1.0	-6.770032952827103	3.0	-10.03614737078406	1.0		0.0	-7.006922703798911	1.0	-5.181296241490952	2.0
samp_08	-5.486701446608033	5.2700375304254665	0.13307723740613858	-5.188050903756164	1.0		0.0		0.0	-6.653528860738073	2.0	-5.658219282079415	1.0	-4.183502040708756	1.0	-3.2340447258381335	1.0	-3.6817370371466263	1.0	-6.535776032170957	1.0		0.0	-8.255552929552662	4.0	-6.974280803024341	2.0		0.0	-4.107349086044429	1.0	-10.41055342587578	1.0	-4.084547626992317	1.0	-6.918455325765165	2.0	-10.356282385380654	1.0		0.0		0.0	-5.220837484738708	1.0
