run	log_tbg	log_alphap	log_betap	b1A1_log_P	b1A1_weight	b2C6_log_P	b2C6_weight	b2C7_log_P	b2C7_weight	b2C8_log_P	b2C8_weight	b2C9_log_P	b2C9_weight	b2D1_log_P	b2D1_weight	b2D2_log_P	b2D2_weight	b2D3_log_P	b2D3_weight	b2D4_log_P	b2D4_weight	b2D5_log_P	b2D5_weight	b2D6_log_P	b2D6_weight	b2D7_log_P	b2D7_weight	b2D8_log_P	b2D8_weight	b2D9_log_P	b2D9_weight	b2E1_log_P	b2E1_weight	b2E3_log_P	b2E3_weight	b2E6_log_P	b2E6_weight	b2E7_log_P	b2E7_weight	b2E8_log_P	b2E8_weight	b2E9_log_P	b2E9_weight	b2F1_log_P	b2F1_weight	b2F2_log_P	b2F2_weight	b1B8_log_P	b1B8_weight	b1B9_log_P	b1B9_weight	b1C1_log_P	b1C1_weight	b1C2_log_P	b1C2_weight	b1C3_log_P	b1C3_weight	b1C4_log_P	b1C4_weight	b1C5_log_P	b1C5_weight	b1C6_log_P	b1C6_weight	b1C7_log_P	b1C7_weight	b1C8_log_P	b1C8_weight	b1C9_log_P	b1C9_weight	b1D1_log_P	b1D1_weight	b1D2_log_P	b1D2_weight	b1D3_log_P	b1D3_weight	b1D4_log_P	b1D4_weight	b1D5_log_P	b1D5_weight	b1D6_log_P	b1D6_weight	b1D7_log_P	b1D7_weight	b1D8_log_P	b1D8_weight	b1D9_log_P	b1D9_weight	b1E1_log_P	b1E1_weight	b1E2_log_P	b1E2_weight	b13G3_log_P	b13G3_weight	b13G4_log_P	b13G4_weight	b13G5_log_P	b13G5_weight	b13G6_log_P	b13G6_weight	b13G8_log_P	b13G8_weight	b13G9_log_P	b13G9_weight	b13H1_log_P	b13H1_weight	b13H2_log_P	b13H2_weight	b13H3_log_P	b13H3_weight	b13D7_log_P	b13D7_weight	b13D8_log_P	b13D8_weight	b13D9_log_P	b13D9_weight	b13E1_log_P	b13E1_weight	b13E2_log_P	b13E2_weight	b13E3_log_P	b13E3_weight	b13E5_log_P	b13E5_weight	b13E7_log_P	b13E7_weight	b13E8_log_P	b13E8_weight
fit	-5.502050216726262	6.725765332662252	-0.0472893051032996	-4.3666569363510055	1.0	-8.168361464069877	1.0	-1.5368487867651761	1.0	-5.24636242184331	1.0	-4.938800283111139	1.0	-4.748552913246529	1.0	-7.8265092461874	1.0	-4.493987799769912	1.0	-5.587153414686446	1.0	-3.7223517117480336	1.0	-11.175228947224145	1.0	-12.096417850922366	1.0	-5.955079586134315	1.0	-11.015616883339767	1.0	-4.848580038477502	1.0	-10.68122274674712	1.0	-5.895902686779936	1.0	-6.098900679816532	1.0	-4.013682632160637	1.0	-5.41912591724382	1.0	-11.925769584584074	1.0	-1.957314444586571	1.0	-10.97408590981394	1.0	-8.888126964192244	1.0	-10.50422168688079	1.0	-5.844032892649805	1.0	-3.618672567570421	1.0	-8.132897210885075	1.0	-10.678870008800166	1.0	-11.629181464456458	1.0	-9.772646304718885	1.0	-10.964394206675946	1.0	-10.182846591823003	1.0	-7.86684618935494	1.0	-8.00419775123981	1.0	-3.1781648266620883	1.0	-11.674191212841913	1.0	-6.272844865876328	1.0	-6.814791842018316	1.0	-10.7864090234526	1.0	-8.621376949643768	1.0	-4.433227797966434	1.0	-10.97595254353203	1.0	-3.813451669514349	1.0	9.146015718971574	1.0	1.2752415110485613	1.0	0.8827243388810555	1.0	1.5233892623520133	1.0	-3.098975004055788	1.0	1.6096426894983886	1.0	-2.68926265013629	1.0	0.0640233030296758	1.0	-3.2381103568361063	1.0	0.5813718280232676	1.0	0.35149433717592793	1.0	-11.927365496484532	1.0	6.094038983635534	1.0	0.8594248703055782	1.0	0.9287481438045946	1.0	0.7857234924460136	1.0	0.8650272313011074	1.0	7.176213262214346	1.0
samp_00	-5.417901227300994	6.730408293234238	-0.012552556470094931	-4.371758242947653	2.0	-8.221672326119197	1.0		0.0	-5.257968497144709	1.0		0.0	-4.7558553697668815	2.0		0.0	-4.499717153666758	2.0		0.0		0.0		0.0	-12.144383526989458	1.0	-5.976263653595815	1.0	-11.059106340021343	1.0	-4.856465886986696	2.0	-10.720310074784344	1.0	-5.915827950697143	3.0		0.0	-4.017353650165128	1.0	-5.432343761776406	3.0	-11.970473755264614	1.0		0.0	-11.017584221786478	1.0		0.0	-10.554750651541609	1.0	-5.863547451763044	2.0	-3.6212176489624643	1.0		0.0	-10.729401953477554	1.0		0.0	-9.82516345087687	2.0		0.0		0.0		0.0		0.0		0.0	-11.720056241922475	2.0		0.0	-6.852488610493443	2.0	-10.837333349303238	1.0	-8.68955842591954	1.0		0.0	-11.027499906858555	1.0	-3.8164875775404328	3.0	17.05825769246232	3.0		0.0	0.882629317597731	3.0	1.5236047485901265	2.0	-3.1005334804904585	2.0		0.0	-2.6903231372660144	1.0	0.06381921137077035	1.0	-3.239886728703315	1.0		0.0		0.0	-11.974252115296675	2.0		0.0		0.0		0.0	0.7857730893122943	3.0	0.8648817336730152	2.0	13.467192902897779	2.0
samp_01	-5.4327838204343015	6.793277541308105	-0.03041811028441372	-4.370946385880301	2.0	-8.247898461421714	4.0	-1.537136317646134	2.0	-5.255311740244569	1.0		0.0		0.0		0.0	-4.498980138300216	1.0	-5.6000496766126	1.0	-3.7244742429552926	1.0	-11.25720970132157	1.0	-12.188378856365002	1.0	-5.974441549959905	1.0	-11.10200357085088	1.0	-4.855825428657173	1.0	-10.76175433551333	1.0	-5.914455389773208	1.0	-6.12152164101111	1.0	-4.015659419949477	1.0	-5.430898771314112	1.0		0.0	-1.9574094065334429	1.0	-11.060427157466416	1.0	-8.977893658743241	1.0		0.0	-5.8610682053423595	1.0	-3.620827742774325	1.0		0.0		0.0	-11.718320841175185	1.0		0.0	-11.054344011856667	3.0		0.0	-7.948825279536632	2.0		0.0	-3.179307567275638	1.0		0.0	-6.29939424832176	2.0	-6.857603560916168	2.0	-10.881377427072026	1.0		0.0	-4.437800095518499	2.0	-11.072013508535068	2.0	-3.815809101376726	3.0	14.852538017924207	1.0		0.0		0.0		0.0	-3.0996944926917496	1.0		0.0		0.0	0.06393118831634323	3.0		0.0	0.5819484746972512	1.0	0.35143991105098515	2.0	-12.018065283562835	4.0		0.0	0.8594001004501302	3.0	0.9286713885824806	1.0		0.0		0.0		0.0
samp_02	-5.520760346661675	6.652739290886212	-0.03712498368618773		0.0		0.0	-1.536735667549334	4.0		0.0		0.0	-4.747602458032019	2.0	-7.786924209021218	1.0		0.0	-5.584245710994131	2.0		0.0	-11.115461629174053	1.0	-12.031074228648665	1.0	-5.948945152378818	2.0	-10.953334356059697	2.0		0.0	-10.622686358713251	2.0		0.0	-6.090891921011588	1.0	-4.014330539267886	1.0	-5.415706498851381	1.0		0.0	-1.9576528648619906	1.0	-10.91189299516825	1.0		0.0		0.0		0.0		0.0		0.0	-10.612397328376892	2.0	-11.565103626012062	1.0	-9.709213279452705	2.0	-10.900101967561554	1.0		0.0		0.0		0.0	-3.178196401972682	3.0	-11.60983766544947	1.0		0.0	-6.795681959175034	1.0		0.0	-8.562234510070015	2.0		0.0	-10.908046045949204	2.0	-3.813106531269575	2.0	21.00304400823559	3.0		0.0	0.8829053086723667	1.0		0.0		0.0	1.6084829992662537	4.0	-2.6898171528671613	1.0	0.06401667695370826	1.0		0.0	0.5818829090681713	2.0	0.3517426933692207	1.0	-11.86252160008271	2.0	14.888370424512065	1.0	0.859191017145791	1.0		0.0		0.0	0.8653363936386665	2.0	12.536882275963118	4.0
samp_03	-5.563873597922058	6.687642718007732	-0.034270138838002825		0.0	-8.13834720999927	1.0	-1.5367997379390466	1.0		0.0	-4.9369585447985305	1.0	-4.747552815587297	1.0	-7.800828673441941	2.0	-4.492923074035519	2.0		0.0		0.0	-11.150117308716554	1.0		0.0	-5.949955640399785	1.0	-10.98758262257821	2.0	-4.846854223621971	3.0		0.0		0.0	-6.092524127617726	1.0	-4.013747383766961	1.0		0.0	-11.89695135199747	1.0		0.0	-10.946029377138888	3.0	-8.853859228416969	1.0	-10.470784281836439	1.0		0.0	-3.6182534634491463	1.0	-8.09970227187156	2.0		0.0		0.0	-9.738265669034037	1.0	-10.934001724468384	1.0	-10.147459828526635	1.0		0.0		0.0		0.0		0.0	-6.26509503561571	2.0	-6.800491350891673	1.0	-10.752577544681415	1.0	-8.580051708207332	2.0		0.0	-10.941594829544217	1.0	-3.8130741790174247	3.0	18.701729555095568	2.0	1.2744303768561065	1.0		0.0	1.5248038187594457	2.0	-3.0990908700856705	1.0	1.6078808600844874	1.0	-2.689477546673436	2.0		0.0	-3.238106066438084	1.0	0.5819914076434436	2.0	0.35156615453945284	1.0	-11.896854278371658	2.0	13.662148265514299	1.0	0.8594220787449066	2.0	0.9286257718739277	1.0	0.7861950106930896	1.0		0.0	11.882689888247164	3.0
samp_04	-5.300010615235673	6.850943582369164	-0.058245176799374576	-4.37285858046014	1.0		0.0	-1.5372689402099744	1.0		0.0	-4.950359265813629	1.0		0.0	-7.941388022532588	1.0		0.0	-5.6063907985238615	3.0	-3.7253162400147484	1.0		0.0	-12.231199761219992	1.0		0.0	-11.13712069889323	1.0		0.0		0.0		0.0	-6.134566566475111	1.0		0.0	-5.436756333466061	1.0	-12.052291943495165	2.0	-1.9572878450517586	1.0		0.0	-9.02737434903327	2.0	-10.640423158579681	2.0	-5.87013773176489	1.0	-3.621772975876744	1.0	-8.276467599861935	5.0	-10.815683239227099	2.0	-11.756846065633217	1.0		0.0	-11.092824638301847	1.0	-10.324137360879687	2.0	-8.008892116972254	1.0	-8.142730324591183	1.0	-3.1797048096787233	1.0	-11.802885232256761	1.0	-6.315482499739639	1.0	-6.886782159738571	1.0	-10.924497284083493	1.0		0.0		0.0	-11.115990412019983	2.0	-3.8167637154290337	3.0	8.387860989188951	1.0		0.0	0.8834269202237971	1.0	1.5248469855211626	3.0		0.0	1.60887794574723	2.0		0.0		0.0		0.0	0.5815857551345358	3.0	0.3513705011976747	2.0	-12.058987901004253	2.0	5.940146669801722	1.0	0.8595712647209922	3.0		0.0		0.0		0.0		0.0
samp_05	-5.5993042391973935	6.644425627158497	-0.08439455687800172		0.0	-8.060581506015765	1.0	-1.5361836001411178	1.0	-5.231042242458316	1.0		0.0	-4.738719152259573	2.0	-7.732102691102715	1.0		0.0	-5.565818120454125	1.0	-3.718607246133394	2.0	-11.060496074588182	1.0	-11.966481115219963	1.0	-5.92471029883163	2.0		0.0		0.0	-10.568294315966444	1.0		0.0		0.0		0.0	-5.399899550958792	1.0	-11.802113408386726	3.0	-1.9569979494158782	2.0	-10.851912168010552	2.0	-8.76270951056182	1.0		0.0	-5.8167615117571545	1.0		0.0		0.0	-10.543066549738427	1.0	-11.50317843238775	3.0	-9.638902260130072	2.0		0.0	-10.04402924323105	1.0	-7.757693925852219	1.0	-7.894359397518904	1.0	-3.1760743983378696	1.0	-11.54749899535634	1.0	-6.2328265776343414	1.0	-6.754554844387346	1.0	-10.649458912780625	1.0	-8.482081811648726	2.0	-4.4254266454449525	1.0	-10.8372023138416	1.0	-3.8093186544629867	1.0	9.700411419152735	1.0		0.0	0.8830569828977227	1.0	1.5258979796598868	2.0	-3.09747435163232	2.0	1.6087966462147558	1.0	-2.688509990837959	2.0		0.0	-3.236121461725052	2.0	0.5819183493960769	2.0	0.35204526131279523	1.0		0.0	6.679870687234118	1.0	0.859666926694115	1.0	0.9293194775701963	1.0	0.7867801610622	1.0		0.0	7.828189892362348	1.0
samp_06	-5.543045459171327	6.545712306233559	-0.04216699403267753		0.0		0.0	-1.5364944290602731	1.0		0.0	-4.9292604906683835	1.0	-4.74328335274832	3.0	-7.716426284382475	1.0	-4.488315417160973	1.0		0.0	-3.7205984398172567	1.0		0.0		0.0	-5.931851344871684	1.0		0.0		0.0		0.0	-5.873035521407181	2.0	-6.070248443157837	2.0		0.0	-5.405193827271937	1.0	-11.750400616344516	4.0	-1.9580880570063546	2.0	-10.801418872841854	2.0		0.0	-10.321350163235998	2.0	-5.824695615020198	2.0	-3.6163947728481745	1.0		0.0		0.0	-11.451438100278155	1.0		0.0	-10.785837858152759	1.0	-9.99882267117559	3.0		0.0		0.0		0.0		0.0	-6.2391623321862255	1.0		0.0	-10.600124384348403	1.0	-8.460257780917429	3.0	-4.4282887008544645	2.0		0.0	-3.8114049798430334	1.0	10.021581311784404	1.0	1.2749310716983622	3.0	0.8827769332580817	5.0	1.5239891452288667	1.0	-3.0994653453466565	1.0	1.6089635935683366	1.0		0.0	0.0641908101096911	2.0		0.0		0.0	0.3516340287121486	2.0	-11.747592811906397	1.0	6.998322203356434	1.0	0.8592790372326065	3.0		0.0		0.0		0.0	8.13552335552977	1.0
samp_07	-5.68500419621475	6.5567288597018445	-0.03635959990961483		0.0		0.0		0.0	-5.2337587371629635	1.0		0.0	-4.74064927874956	1.0	-7.701704980669219	1.0		0.0	-5.567879716829095	4.0	-3.7196111880475264	2.0	-11.02133976383709	3.0		0.0	-5.924270156865559	2.0	-10.849013035479821	1.0	-4.837074592408327	1.0	-10.529643581995161	2.0	-5.866098420898273	1.0	-6.062078971131218	2.0		0.0		0.0	-11.757283337904822	1.0	-1.9577243480559516	1.0	-10.807481917262729	1.0	-8.714456116700518	1.0	-10.315130341325725	1.0		0.0		0.0		0.0	-10.488831375698028	2.0	-11.456675062528406	1.0	-9.585149065999504	1.0	-10.787563130536618	1.0	-9.987117930494666	1.0	-7.722236013030188	1.0	-7.857313440299533	2.0		0.0		0.0	-6.229508754778898	5.0	-6.742800962559892	1.0	-10.594560352522405	2.0		0.0	-4.426459090253703	1.0	-10.781281892732771	1.0	-3.8103318701735196	1.0	12.374907377481572	3.0		0.0		0.0	1.5253160705280908	2.0		0.0		0.0		0.0	0.06425388560253902	2.0		0.0	0.581879907776429	2.0	0.3518578177130015	1.0	-11.751367343299037	1.0	9.37830931438083	1.0	0.8592097523245295	1.0		0.0	0.7859984098492377	2.0	0.8648167870705825	1.0		0.0
samp_08	-5.454868697076465	6.794786964684411	-0.08108718065501903		0.0	-8.19921117384154	1.0	-1.5367529308299925	1.0	-5.244463515719632	1.0	-4.938607789894439	2.0	-4.74737937139551	2.0	-7.852055699223222	1.0		0.0	-5.5854939845208165	1.0		0.0	-11.209446379768238	1.0	-12.13643457162002	1.0	-5.955047718325868	2.0		0.0		0.0	-10.714551090348468	1.0	-5.896146401116668	4.0	-6.100136533275417	1.0		0.0	-5.418599583445128	2.0		0.0	-1.9568217490378996	4.0		0.0		0.0		0.0	-5.843139910648368	1.0		0.0	-8.16593121042751	2.0	-10.719737177125113	1.0	-11.66742561558695	3.0	-9.81267041548542	1.0	-11.002929985316682	3.0	-10.224522919018822	2.0	-7.8966609794904725	1.0		0.0	-3.177691845379855	1.0		0.0	-6.2749117363639595	1.0		0.0	-10.82768567137284	1.0	-8.663534577120526	2.0	-4.432726379208468	2.0		0.0		0.0	20.206410075643447	1.0	1.274895910412874	1.0	0.8829771323823323	1.0	1.525351784308453	1.0	-3.0981749055550445	4.0		0.0		0.0	0.06419814809594107	2.0	-3.2374327994428893	3.0		0.0		0.0	-11.966607145958402	1.0		0.0		0.0		0.0		0.0		0.0	13.491434271294766	2.0
