run	log_tsat	log_tbg	log_alphap	b1A1_log_P	b1A1_weight	b1B8_log_P	b1B8_weight	b1B9_log_P	b1B9_weight	b1C1_log_P	b1C1_weight	b1C2_log_P	b1C2_weight	b1C3_log_P	b1C3_weight	b1C4_log_P	b1C4_weight	b1C5_log_P	b1C5_weight	b1C6_log_P	b1C6_weight	b1C7_log_P	b1C7_weight	b1C8_log_P	b1C8_weight	b1C9_log_P	b1C9_weight	b1D1_log_P	b1D1_weight	b1D2_log_P	b1D2_weight	b1D3_log_P	b1D3_weight	b1D4_log_P	b1D4_weight	b1D5_log_P	b1D5_weight	b1D6_log_P	b1D6_weight	b1D7_log_P	b1D7_weight	b1D8_log_P	b1D8_weight	b1D9_log_P	b1D9_weight	b1E1_log_P	b1E1_weight	b1E2_log_P	b1E2_weight	b2C6_log_P	b2C6_weight	b2C7_log_P	b2C7_weight	b2C8_log_P	b2C8_weight	b2C9_log_P	b2C9_weight	b2D1_log_P	b2D1_weight	b2D2_log_P	b2D2_weight	b2D3_log_P	b2D3_weight	b2D4_log_P	b2D4_weight	b2D5_log_P	b2D5_weight	b2D6_log_P	b2D6_weight	b2D7_log_P	b2D7_weight	b2D8_log_P	b2D8_weight	b2D9_log_P	b2D9_weight	b2E1_log_P	b2E1_weight	b2E3_log_P	b2E3_weight	b2E6_log_P	b2E6_weight	b2E7_log_P	b2E7_weight	b2E8_log_P	b2E8_weight	b2E9_log_P	b2E9_weight	b2F1_log_P	b2F1_weight	b2F2_log_P	b2F2_weight
fit	2.7561321168111075	-5.538028664406773	6.556788128715367	-4.404460035139218	1.0	-10.888706276403296	1.0	-8.818707067399291	1.0	-10.412104074532081	1.0	-5.883883538467588	1.0	-3.6555137523264305	1.0	-8.085453706615361	1.0	-10.585400536105281	1.0	-11.539832531478039	1.0	-9.686915054829832	1.0	-10.87490670393021	1.0	-10.090358059184302	1.0	-7.8308128493081695	1.0	-7.962539052187993	1.0	-3.216029198680455	1.0	-11.584290908070495	1.0	-6.304039681818293	1.0	-6.827227681708831	1.0	-10.691687633018509	1.0	-8.550438665437412	1.0	-4.471118376502813	1.0	-10.879317520261324	1.0	-3.8512425729005	1.0	-8.12209521425457	1.0	-1.5786976579135075	1.0	-5.289290042940084	1.0	-4.975943804232983	1.0	-4.788857062664	1.0	-7.793782366138759	1.0	-4.531463091030662	1.0	-5.629376317805298	1.0	-3.760148824771387	1.0	-11.094458521630601	1.0	-12.004184151920448	1.0	-5.9922747072519185	1.0	-10.930091439952248	1.0	-4.8854044185994185	1.0	-10.603174942654043	1.0	-5.932138320566686	1.0	-6.132252157801384	1.0	-4.0549886132442134	1.0	-5.457593037131712	1.0	-11.837898922925984	1.0	-1.9982513388124885	1.0
samp_00	2.7674329389612162	-5.429477014859936	6.606726621279196	-4.4202111138441245	1.0	-10.955145910077837	1.0	-8.89584577783568	2.0	-10.48834577208648	1.0	-5.912996775454368	1.0	-3.6692192965157333	2.0	-8.162924983221249	1.0	-10.661843032022073	2.0	-11.609088688979433	4.0	-9.76439960836013	1.0		0.0	-10.169999964248898	1.0	-7.907409430770828	2.0	-8.037549299867608	2.0	-3.228980054559674	1.0	-11.65410691728941	1.0	-6.341271250140979	1.0	-6.876413092757428	1.0		0.0		0.0	-4.487154758469974	2.0	-10.957507290193002	1.0		0.0		0.0		0.0		0.0	-4.995054978196481	4.0	-4.8062486282426145	1.0	-7.858019164970793	1.0		0.0		0.0	-3.773883488855986	3.0		0.0		0.0	-6.023301826106493	2.0		0.0		0.0		0.0	-5.9621220005894395	1.0	-6.165867002471799	1.0	-4.06884173702414	1.0		0.0	-11.905868195608878	1.0	-2.011282324830149	1.0
samp_01	2.7857804322837953	-5.64745725383314	6.4909708367371595		0.0	-10.84695284523794	1.0	-8.771947626050979	2.0	-10.357941464592027	1.0	-5.905205901728599	4.0	-3.685689182072213	1.0	-8.047174472289633	1.0	-10.530748587784375	2.0	-11.495005547718712	1.0		0.0		0.0		0.0	-7.797193737033707	1.0	-7.92799897404525	2.0	-3.247300392763354	2.0	-11.538798530487838	1.0		0.0	-6.826588135544129	1.0		0.0		0.0		0.0	-10.822204214937482	1.0	-3.881621743139058	1.0	-8.08858467418343	1.0	-1.6144100743840764	2.0	-5.31710346701371	1.0	-5.002863815001575	1.0	-4.818074982955625	1.0	-7.769495395027093	1.0	-4.560179498150744	2.0	-5.654201649174555	2.0		0.0	-11.05967445875466	2.0	-11.955733871417303	1.0	-6.011412310098384	1.0	-10.888354358562303	1.0	-4.912564988142194	1.0	-10.569375668682415	1.0	-5.951665345239164	3.0		0.0	-4.08683027215212	1.0		0.0		0.0		0.0
samp_02	2.704520954731392	-5.372122150310417	6.872616387957908	-4.357442246295467	2.0		0.0	-9.071362330589482	2.0		0.0		0.0	-3.6050499676113645	2.0		0.0	-10.873277147084746	4.0	-11.814498216652767	1.0	-9.963772356558044	1.0		0.0		0.0	-8.032836450748077	2.0		0.0	-3.162193086059409	2.0		0.0		0.0		0.0		0.0	-8.82789963001397	2.0		0.0	-11.174136026822893	1.0	-3.80022289906259	1.0		0.0	-1.5163658550377273	1.0	-5.245927168255526	1.0	-4.9367753855800665	1.0	-4.741912677939882	1.0	-7.966352536192578	4.0	-4.486223906156465	2.0	-5.594701323731252	2.0	-3.7086083907272758	2.0		0.0	-12.287494965929964	1.0		0.0		0.0	-4.845475222023223	1.0	-10.848717171837801	2.0	-5.915740304590035	1.0	-6.127509769865007	1.0	-3.9993838747712114	2.0		0.0		0.0	-1.9375213865221201	2.0
samp_03	2.8771792840831756	-5.708766378157923	6.235985103273848	-4.529047908955818	1.0	-10.686459271479151	1.0		0.0		0.0		0.0	-3.782062225156341	1.0	-7.972538772886084	1.0		0.0	-11.32516149908201	1.0	-9.473987220377271	1.0	-10.65529870990087	1.0	-9.852729283598968	3.0	-7.73958146811146	1.0	-7.862305306504979	2.0	-3.3468362974920964	1.0	-11.367526234687977	3.0	-6.365856305344128	2.0		0.0		0.0	-8.379487585682083	3.0		0.0	-10.62813034304213	1.0	-3.979705438416931	1.0		0.0		0.0	-5.410626963503959	1.0	-5.090880502159872	2.0		0.0		0.0	-4.653824260228379	1.0	-5.738010232499849	1.0		0.0	-10.9124713187344	1.0	-11.779140218072337	1.0	-6.077235610375512	1.0	-10.727603745764014	2.0	-5.001150982400773	1.0	-10.427786319368602	3.0	-6.0178306861636806	2.0	-6.204899033160787	1.0	-4.1923784382712155	1.0	-5.564049339596859	1.0	-11.630952629547798	1.0		0.0
samp_04	2.7730089034010557	-5.556112061089818	6.520750823986942	-4.4219477321572045	1.0		0.0	-8.803026085452297	1.0	-10.390102724753234	1.0	-5.899637612497226	3.0	-3.6731007954562087	1.0	-8.075369747177989	1.0	-10.563001182624873	1.0	-11.519424545959719	1.0	-9.66662976686304	2.0	-10.854216109637061	2.0	-10.06794129752401	1.0		0.0		0.0		0.0		0.0		0.0	-6.833653177194084	1.0	-10.66887565170978	1.0	-8.533400430490854	1.0	-4.488584938219151	1.0	-10.85586732790339	1.0	-3.8690231701286826	1.0	-8.112851655441153	1.0	-1.5992618671355698	1.0	-5.307210149587162	3.0	-4.992737902274502	1.0	-4.806720977056684	2.0	-7.788381712764566	1.0	-4.54876903161498	1.0	-5.646383643076314	1.0	-3.7779700384649146	1.0		0.0		0.0	-6.0070528935230545	1.0	-10.910928802010586	1.0		0.0	-10.586638541279543	2.0	-5.9468688132038	1.0		0.0	-4.073678536113279	2.0	-5.474023234071556	3.0	-11.818087407338867	1.0		0.0
samp_05	2.7080688683834206	-5.4900732114102935	6.608473334540092		0.0		0.0	-8.820386249997203	1.0	-10.421891457826728	2.0		0.0	-3.6051323419610224	1.0	-8.078749175805338	2.0	-10.595729160270993	1.0		0.0		0.0		0.0	-10.101230040353444	1.0		0.0	-7.953050373675164	1.0	-3.1647243590774234	1.0	-11.591450055970597	1.0	-6.2579930978788605	1.0	-6.791013095609147	1.0		0.0		0.0		0.0	-10.891291824788855	1.0	-3.8004922037539655	2.0		0.0	-1.5201683083977993	1.0	-5.236397531549381	1.0	-4.925839030425375	1.0	-4.737118384076648	2.0		0.0	-4.481106409256535	1.0	-5.577066540661231	6.0	-3.7093431515147413	1.0		0.0		0.0	-5.942828031337738	1.0	-10.934700424530961	1.0	-4.83544321290693	2.0	-10.603330975626017	1.0		0.0	-6.084835161021284	2.0	-4.0025277652807585	2.0	-5.406995035096157	3.0	-11.843820483690816	1.0	-1.9424464280532605	2.0
samp_06	2.8010753582569743	-5.578730374649099	6.480123183767418	-4.451730206431334	3.0		0.0	-8.79491535542828	4.0	-10.373946421875036	2.0	-5.928315055880951	1.0	-3.7027175575051134	2.0		0.0	-10.546350935811464	1.0	-11.505250228730109	1.0	-9.652687059795728	2.0		0.0	-10.05132208646691	2.0	-7.8256287124701895	1.0	-7.95467824108102	1.0	-3.2642737213736788	2.0	-11.549250392079436	2.0	-6.34113858723994	1.0	-6.851448313560997	1.0		0.0		0.0	-4.518397840446877	2.0	-10.83791075063151	1.0		0.0	-8.112395189626346	1.0	-1.6329968172972522	1.0		0.0		0.0		0.0		0.0		0.0	-5.676527301433552	2.0	-3.8079418571306616	2.0	-11.066743845468544	1.0		0.0	-6.034588249851745	1.0	-10.898242540103505	2.0		0.0	-10.577106750347847	1.0	-5.974270201604739	1.0	-6.17162318262117	2.0	-4.1049796901601505	1.0		0.0		0.0		0.0
samp_07	2.777554579838681	-5.422769736581518	6.640909916128748	-4.432097254633656	1.0		0.0		0.0	-10.533873289189719	1.0	-5.929896455117267	1.0	-3.6804053073539786	2.0	-8.201449762690103	1.0		0.0	-11.653800287716336	1.0	-9.808775904530172	1.0	-10.990470252520112	3.0	-10.215739951642606	2.0	-7.9444227819262645	1.0	-8.07495098698455	1.0	-3.23990904183928	2.0	-11.698953487946532	1.0		0.0	-6.902071865707584	1.0		0.0	-8.68426818129774	1.0		0.0	-11.003977301586014	2.0		0.0		0.0	-1.6049579326525727	2.0	-5.324112468339933	1.0	-5.008302651044523	1.0		0.0	-7.892316196476165	3.0		0.0	-5.669842435831149	2.0		0.0	-11.198161008065041	1.0	-12.122313260112863	3.0		0.0	-11.04037229910062	1.0		0.0	-10.70534945052865	1.0	-5.979596311649882	2.0	-6.18481428400088	3.0		0.0	-5.495771023850981	1.0	-11.95022312598105	1.0		0.0
samp_08	2.6923606061763814	-5.458490961181202	6.685097265259217		0.0	-10.95374934808041	2.0	-8.875470973196165	1.0		0.0	-5.823178644408164	3.0	-3.589520029378853	1.0	-8.124110143996	1.0		0.0		0.0	-9.757262559630739	1.0	-10.945327566540781	1.0		0.0	-7.859377772002417	2.0	-7.9950758144055305	2.0	-3.148238889902309	1.0		0.0		0.0		0.0	-10.76932593143146	1.0		0.0	-4.405830798372668	1.0	-10.959039369351128	2.0		0.0	-8.156527727398242	1.0	-1.5010303758273575	2.0	-5.222159010241465	3.0		0.0	-4.7222077374498435	1.0	-7.813311842412065	1.0	-4.466717497712905	1.0		0.0	-3.693446659715511	1.0		0.0	-12.07788022125206	1.0	-5.934789036833639	1.0		0.0	-4.822298791546007	3.0		0.0	-5.874988071594974	1.0	-6.079352032870655	1.0		0.0	-5.395364602911462	2.0	-11.905789891432706	3.0	-1.9239357361255465	3.0
samp_09	2.7708325154082694	-5.671032848094705	6.472261618707663	-4.416310835535376	1.0	-10.811722821796089	1.0		0.0		0.0	-5.882595243909265	6.0		0.0	-8.012125391107901	1.0		0.0	-11.45916492273976	1.0		0.0		0.0		0.0	-7.762781035579215	2.0	-7.893723793693385	2.0	-3.2310186685359326	3.0	-11.502792881165607	3.0	-6.2922167120826575	1.0	-6.798885876052718	1.0	-10.597010515870627	1.0	-8.454504006412503	1.0	-4.482703821060522	1.0		0.0	-3.8650075909353716	1.0	-8.054957130648294	3.0		0.0	-5.2972033149335305	3.0		0.0	-4.799829430115377	3.0	-7.737955202977785	1.0	-4.542543936425222	1.0		0.0	-3.774141803376259	1.0	-11.02635552406994	2.0	-11.919124654224417	1.0		0.0	-10.853140291456521	1.0		0.0		0.0	-5.928908100177395	1.0		0.0		0.0	-5.461797511838839	1.0		0.0		0.0
samp_10	2.736867923911897	-5.765667641752261	6.445029696168922	-4.376524738076444	2.0	-10.74252419177167	1.0	-8.654575627165455	1.0	-10.23765757408516	1.0	-5.830877427954587	1.0	-3.6316437433648	1.0	-7.93379145360903	2.0		0.0	-11.38896073734753	1.0	-9.51139604454152	2.0	-10.716779046041696	2.0	-9.906853810471164	2.0		0.0	-7.817324160566709	1.0	-3.193802459722812	1.0	-11.432117637068671	1.0		0.0		0.0		0.0	-8.3647469970441	1.0		0.0		0.0	-3.8270014306062365	1.0	-7.9811089066510075	2.0	-1.5547962969519218	1.0	-5.251395147695083	1.0		0.0		0.0	-7.669124639147304	1.0		0.0	-5.58375135555276	3.0		0.0	-10.96358515036689	3.0		0.0	-5.935582671391042	1.0		0.0	-4.851902106195731	3.0		0.0	-5.8771854704671105	4.0	-6.07060121052331	1.0	-4.031264101063053	1.0		0.0		0.0	-1.9761620360113759	2.0
samp_11	2.7014708157532237	-5.621180752972582	6.629854367001895		0.0		0.0	-8.801319773859722	2.0	-10.41826469480817	2.0	-5.816097267811401	2.0	-3.597027403551257	1.0	-8.049335309963173	1.0		0.0	-11.551495462698247	1.0		0.0	-10.884688192863411	1.0		0.0	-7.78665931745803	2.0		0.0	-3.1568112922749325	1.0	-11.59592539361526	1.0		0.0	-6.767858582073163	4.0	-10.69970427024434	1.0		0.0		0.0	-10.888237200886861	2.0	-3.792034421036834	1.0	-8.090733957006394	1.0	-1.511781824445527	1.0	-5.22314455398991	1.0	-4.915033735933003	1.0		0.0	-7.757476598849689	3.0	-4.471538466340031	2.0	-5.5618054347147465	1.0	-3.7009896140339293	1.0	-11.106136545838524	2.0		0.0	-5.925458808655768	1.0		0.0	-4.825001813799235	1.0	-10.61285177132241	1.0		0.0		0.0	-3.993264913161025	1.0	-5.393707755206846	1.0	-11.849617268858927	2.0	-1.9343995514248566	2.0
