run	log_tbg	log_alphap	log_betap	b3D3_log_P	b3D3_weight	b7G5_log_P	b7G5_weight	b7G6_log_P	b7G6_weight	b7G7_log_P	b7G7_weight	b7G8_log_P	b7G8_weight	b7G9_log_P	b7G9_weight	b7H1_log_P	b7H1_weight	b7H2_log_P	b7H2_weight	b7H3_log_P	b7H3_weight	b7H4_log_P	b7H4_weight	b7H5_log_P	b7H5_weight	b7H6_log_P	b7H6_weight	b7H7_log_P	b7H7_weight	b7H8_log_P	b7H8_weight	b7H9_log_P	b7H9_weight	b7I1_log_P	b7I1_weight	b7I2_log_P	b7I2_weight	b7I3_log_P	b7I3_weight	b7I4_log_P	b7I4_weight	b7I5_log_P	b7I5_weight	b7I7_log_P	b7I7_weight	b7I8_log_P	b7I8_weight	b7I9_log_P	b7I9_weight
fit	-6.652785373603789	3.762182238834161	0.0640366391300969	-4.596138622329729	1.0	-9.96113154856509	1.0	-9.023856001472351	1.0	-5.139656383008908	1.0	-5.006628160930941	1.0	-2.4148341975901917	1.0	-3.101873613713746	1.0	-4.86685150352069	1.0	-0.06777293007359667	1.0	-4.059605717159862	1.0	-2.5750607269056753	1.0	-4.055893997808368	1.0	-6.393934642269399	1.0	-5.780069229885849	1.0	-5.361698751169359	1.0	-11.275295611107486	1.0	-3.8491367427314125	1.0	-1.5973894170302916	1.0	-7.95110021922882	1.0	-4.000452652778685	1.0	-8.535825838358507	1.0	-10.944389885558866	1.0	-7.540650335020807	1.0
samp_00	-5.893991315031176	4.270448532572057	-0.10161960808468479	-4.674446461139892	3.0	-10.653478069154387	1.0	-9.501303374987273	1.0	-5.261084042311097	1.0		0.0	-2.403368147699455	1.0	-3.0747088691796374	1.0	-4.975726557008302	1.0	-0.06052795297614943	1.0		0.0	-2.5593011406052057	2.0	-4.097178929745196	2.0	-6.5902186864617835	2.0		0.0	-5.501859520808403	2.0		0.0	-3.909558030505871	1.0		0.0		0.0	-4.045168702412512	2.0	-8.890905660020493	2.0		0.0		0.0
samp_01	-5.9914614941224515	4.272893080544219	-0.08998178731590502		0.0	-10.637489466970036	2.0	-9.491360224878195	1.0	-5.265543236910561	2.0	-5.1283526966800626	1.0		0.0	-3.077242476089982	1.0		0.0	-0.06115315526409779	1.0	-4.118400120925763	2.0		0.0	-4.10134371154807	3.0	-6.5917712452224535	2.0	-5.94532872473368	2.0	-5.506323186822094	1.0	-11.824911887375611	1.0	-3.9134724742059595	1.0		0.0		0.0		0.0	-8.886330428362555	3.0		0.0		0.0
samp_02	-8.062680090163157	3.5596381160862087	0.08168420166608104	-4.53094517881844	1.0		0.0	-8.698195589737749	1.0		0.0	-4.92914874271998	2.0		0.0	-3.089234962145853	1.0		0.0	-0.06829675168317506	1.0		0.0	-2.5667799343885975	2.0	-4.006146097985354	1.0	-6.2882663343682585	1.0		0.0		0.0		0.0	-3.796681344402298	2.0	-1.601457287552886	2.0	-7.7803733993622535	2.0		0.0	-8.32540616493631	4.0	-10.545985996159507	1.0	-7.346311759568871	2.0
samp_03	-7.239977967517625	3.7998399997403887	0.024308928109272796	-4.586707208816261	2.0		0.0	-8.902953434218476	4.0	-5.13102276595614	2.0	-4.998839110717044	1.0	-2.407086575623643	1.0	-3.089885956832279	1.0		0.0	-0.06432774322425412	1.0	-4.0510865368456885	2.0	-2.566291332381641	2.0		0.0	-6.380997899753922	1.0	-5.770721822692523	1.0	-5.354160513709183	1.0		0.0	-3.8422968164213884	1.0	-1.5909859716854673	2.0		0.0		0.0		0.0	-10.856370224034382	1.0		0.0
samp_04	-7.028802048792227	3.8338756930186144	0.0730116185690178	-4.621865636980976	2.0	-9.83631184501277	1.0	-8.999591360513774	1.0	-5.169682926286751	2.0	-5.036599223339142	1.0		0.0		0.0	-4.896059835072289	1.0	-0.0687191995222009	2.0	-4.08154198256642	1.0	-2.5800376122895035	1.0	-4.076364175726277	1.0		0.0	-5.8124303342825145	1.0	-5.393712879967802	2.0	-11.241705766754409	2.0	-3.870827635491515	1.0	-1.5976569316028348	1.0		0.0		0.0		0.0	-10.960887934923665	3.0		0.0
samp_05	-6.896930651869884	3.8152561318327507	0.0444673311493966		0.0		0.0	-8.993712716065456	1.0	-5.149092153477805	1.0	-5.016245246656531	2.0	-2.4125658786199558	1.0	-3.0981288064086123	1.0	-4.876047399339992	1.0	-0.06623052029311999	1.0	-4.0646715579402874	3.0	-2.572305848735516	1.0	-4.059610629810739	1.0	-6.404393411110283	1.0		0.0	-5.372672494610742	1.0	-11.235748330127949	2.0		0.0	-1.593884649948236	1.0	-7.950012952510811	1.0	-4.004557925774083	1.0	-8.52892213876316	1.0	-10.939782376899972	1.0	-7.53005760738946	1.0
samp_06	-6.673914927768945	3.4982272108425816	0.17921939317126945		0.0	-9.79094980812446	1.0		0.0	-5.088231050756956	1.0	-4.95593081158731	2.0	-2.430372202548452	1.0	-3.1218200651487695	1.0	-4.8188261335310525	2.0	-0.07965846883049818	1.0	-4.033263825238612	1.0	-2.5927065189456133	2.0	-4.035355887051107	1.0	-6.323295944758823	1.0	-5.716711816694777	2.0		0.0	-11.123627981757979	2.0	-3.820541337086655	1.0		0.0	-7.863082958594754	1.0		0.0		0.0	-10.817065462012645	1.0	-7.453384900218299	2.0
samp_07	-7.0743275186489765	3.9292506353483243	-0.004624409374982678	-4.6142458427436175	2.0		0.0	-9.002265041495392	1.0		0.0	-5.034921927852826	1.0	-2.406898651103902	2.0	-3.088099456768426	1.0		0.0	-0.06303708692484603	3.0		0.0	-2.5654155965728975	2.0		0.0	-6.43066555542482	2.0	-5.815170340365159	1.0		0.0	-11.244833290463376	1.0		0.0	-1.5864663072687768	1.0	-7.973263663446948	4.0		0.0	-8.549712727340804	1.0	-10.969120143939243	1.0		0.0
samp_08	-6.774165760862027	3.2472029546282886	0.2711092833260845		0.0	-9.579655433095652	3.0	-8.778090440005977	2.0		0.0		0.0	-2.4403255414396803	1.0	-3.1269203049516197	1.0	-4.759143807764102	1.0		0.0		0.0	-2.6029245427989287	2.0	-3.998949901596011	3.0	-6.244650627423395	1.0		0.0		0.0	-10.93767234452444	1.0	-3.7792959153798176	1.0		0.0		0.0	-3.9415588306244937	1.0	-8.332309623137524	3.0	-10.67357649925283	2.0	-7.353717579567371	1.0
