run	log_tbg	log_alphap	log_betap	b9D1_log_P	b9D1_weight	b9D2_log_P	b9D2_weight	b9D3_log_P	b9D3_weight	b9D4_log_P	b9D4_weight	b9D6_log_P	b9D6_weight	b9D8_log_P	b9D8_weight	b9D9_log_P	b9D9_weight	b9E1_log_P	b9E1_weight	b9E2_log_P	b9E2_weight	b9E3_log_P	b9E3_weight	b18A8_log_P	b18A8_weight	b18A9_log_P	b18A9_weight	b18B2_log_P	b18B2_weight	b18B5_log_P	b18B5_weight	b18B6_log_P	b18B6_weight	b18B7_log_P	b18B7_weight	b18B8_log_P	b18B8_weight	b18C1_log_P	b18C1_weight	b18C6_log_P	b18C6_weight	b18C7_log_P	b18C7_weight
fit	-23.228278338614672	1.591058824716685	-0.18758233658458978	-6.496429868809053	1.0	-6.9697780021945395	1.0	-1.4752786760970622	1.0	-7.896449595677935	1.0	-7.897762362704629	1.0	-5.561976634440638	1.0	-9.384857355355814	1.0	-8.985088579877893	1.0	-8.330170755593175	1.0	-8.312621372705449	1.0	-2.2827372292008796	1.0	-3.266540293169548	1.0	-6.741359856931141	1.0	-5.985250770468209	1.0	-7.1345088541492485	1.0	-4.53266464701934	1.0	-4.347395716608465	1.0	-3.900301596756775	1.0	-6.311770966026281	1.0	-5.756189280506216	1.0
samp_00	-22.245474261795774	1.0260947922811274	0.33276130719992547		0.0	-6.9483548336083505	1.0	-1.5740447286454473	3.0	-7.874467274485684	1.0		0.0		0.0		0.0		0.0	-8.30805930595101	1.0	-8.29052406160789	2.0		0.0	-3.2885406719509405	1.0	-6.720416476576154	2.0	-5.966053605617626	1.0	-7.112659293576686	1.0	-4.522602411854149	2.0	-4.339359037104197	2.0	-3.89904465812459	2.0	-6.291999818283654	1.0		0.0
samp_01	-23.61891445854353	2.036928446572436	-0.7184588591547111		0.0	-6.926115557210764	1.0		0.0		0.0	-7.854703836530986	2.0		0.0	-9.342289948630293	1.0	-8.942444725445384	2.0	-8.28740611752106	2.0		0.0	-2.1440611664934943	1.0		0.0	-6.696983435932058	3.0		0.0		0.0	-4.473706619994094	3.0	-4.285896306820289	1.0	-3.8305262820558617	2.0	-6.265731805212144	2.0		0.0
samp_02	-23.350466655803885	1.1870621394517291	0.20606628541053437	-6.492533374432117	2.0		0.0	-1.5597428784068315	2.0	-7.891526303693923	1.0	-7.892920987709913	2.0	-5.559636697369759	1.0	-9.379770977240584	3.0	-8.980032242276094	3.0	-8.325144555330956	1.0		0.0	-2.348936479601882	1.0		0.0	-6.737247891851131	1.0		0.0		0.0		0.0		0.0		0.0	-6.308592806415341	2.0	-5.753918571938693	1.0
samp_03	-22.743600344613053	1.934740417590902	-0.4467355780005823		0.0	-7.011231249301236	2.0	-1.4437482178952372	1.0		0.0		0.0		0.0	-9.427061421649777	1.0		0.0	-8.372237228521652	2.0	-8.3546782155741	3.0	-2.2515624025365213	2.0	-3.2698871805643606	1.0		0.0	-6.024666573055758	2.0	-7.176337216148149	1.0		0.0	-4.3767144837930685	1.0	-3.9236464782124787	2.0		0.0	-5.795044336273416	2.0
samp_04	-24.75229125831525	1.491778381080584	-0.10596844476538786	-6.487957431720651	1.0		0.0	-1.487957762778426	1.0		0.0	-7.88902921542698	3.0	-5.553929720426728	1.0	-9.37605575042825	3.0		0.0	-8.321376656700593	1.0		0.0		0.0	-3.2670306277275167	2.0	-6.732828785856656	1.0	-5.977092170505839	1.0	-7.125785918440294	2.0	-4.52644565212368	1.0	-4.3416049115425555	1.0		0.0	-6.303480533416697	2.0		0.0
samp_05	-23.265960321968404	1.4335425491776927	0.03462072540836423		0.0	-7.002463114925934	1.0	-1.5455178630219015	2.0		0.0	-7.9302538313158095	2.0	-5.59568525729585	2.0	-9.417254377568447	1.0		0.0	-8.362581450813739	2.0	-8.345037032575267	2.0	-2.348059923023527	1.0		0.0	-6.774228568880834	1.0		0.0	-7.167026213681526	1.0		0.0	-4.3850922496635505	1.0	-3.9404701233999537	2.0	-6.345089130873769	1.0	-5.789947655473761	1.0
samp_06	-23.786487904297644	1.416210992465603	-0.10639814859404456	-6.450147627584984	2.0		0.0	-1.4637345538637179	1.0	-7.849731433740967	1.0	-7.85107386240646	2.0	-5.516367850021732	1.0	-9.338069364188684	2.0	-8.938311961571417	1.0		0.0	-8.265863113253252	1.0	-2.265494711955538	1.0	-3.2341836905451915	2.0		0.0	-5.939445132185754	1.0		0.0		0.0	-4.305279716207079	1.0	-3.860423335138098	1.0	-6.265768558214372	1.0	-5.710588600590212	2.0
samp_07	-22.907271980679333	0.7397585856504557	0.5729409183821232	-6.453198633420655	3.0		0.0	-1.6011917261785666	6.0		0.0	-7.8529261584013605	1.0	-5.521352043375157	2.0		0.0	-8.939861499382323	1.0	-8.285037995106233	1.0	-8.267504875126155	1.0		0.0	-3.279878822354332	1.0	-6.697760977976584	1.0		0.0		0.0		0.0		0.0		0.0	-6.269723827840953	1.0	-5.71569865154773	2.0
samp_08	-21.65120118576732	3.096787600090124	-1.6406677439610495	-6.509389184238851	3.0		0.0		0.0	-7.920078751867692	1.0	-7.920659541245028	1.0	-5.559472775563178	4.0		0.0		0.0		0.0	-8.337185455731252	2.0		0.0	-3.0331306080694778	2.0	-6.756541195211374	1.0	-5.986301069606267	1.0	-7.157142743144386	1.0	-4.466418525057147	1.0	-4.268580725918243	1.0		0.0	-6.317318814369621	1.0	-5.752481578257748	1.0
