run	log_tbg	log_alphap	log_betap	b9E5_log_P	b9E5_weight	b9E8_log_P	b9E8_weight	b9F3_log_P	b9F3_weight	b9F4_log_P	b9F4_weight	b9F5_log_P	b9F5_weight	b9F6_log_P	b9F6_weight	b18F3_log_P	b18F3_weight	b18F8_log_P	b18F8_weight	b18F9_log_P	b18F9_weight	b18G1_log_P	b18G1_weight	b18G2_log_P	b18G2_weight	b18G6_log_P	b18G6_weight	b18G7_log_P	b18G7_weight	b18G9_log_P	b18G9_weight	b18H1_log_P	b18H1_weight	b18H3_log_P	b18H3_weight	b17E2_log_P	b17E2_weight
fit	-7.022816782613206	1.7255409369166042	-0.007317468418050279	-0.5519466291744751	1.0	-9.747156911701099	1.0	-8.844054072762141	1.0	-9.606393231098572	1.0	-9.038502132459065	1.0	-7.133316858079102	1.0	-6.313664654146297	1.0	-7.94998333950579	1.0	-3.1145676294708027	1.0	-7.329799664822093	1.0	-3.6220307186046345	1.0	-1.2244750493098473	1.0	-6.415563524563026	1.0	-5.135020233307101	1.0	-4.656620220715288	1.0	-3.6756052355988076	1.0	-5.523330350557421	1.0
samp_00	-20.24873630093264	1.3829507159732584	0.09541883896819112	-0.5499179950923558	2.0	-9.218559326448412	1.0	-8.532909546327081	2.0		0.0	-8.699363522209424	2.0	-6.977986018515139	1.0		0.0	-7.7186784049184425	2.0		0.0	-7.148679205255675	2.0	-3.515733808542907	1.0	-1.2235709328808146	1.0	-6.274277129642584	1.0	-5.013069142767893	1.0		0.0		0.0	-5.397225558746969	1.0
samp_01	-6.813921592587276	1.7462658750560305	-0.07816628201750371	-0.5194690353207553	2.0		0.0	-8.853174532301034	1.0	-9.657268020250834	2.0	-9.052109910149252	1.0		0.0	-6.292253713669897	1.0	-7.946097122849606	1.0		0.0		0.0	-3.5957382051871694	1.0	-1.189795641700472	2.0		0.0	-5.110641229575239	1.0		0.0	-3.6490553095091993	3.0	-5.4996450598651645	2.0
samp_02	-6.970414648859063	1.7531733632042075	0.22113617946378775	-0.67242664437799	1.0	-9.960181939575222	2.0		0.0	-9.83237454498535	1.0	-9.217610264081447	4.0		0.0	-6.447211498871908	1.0		0.0	-3.2414475318528218	3.0		0.0		0.0		0.0	-6.5497790013195525	1.0		0.0	-4.78581344627534	3.0		0.0	-5.654033354865821	1.0
samp_03	-7.230274147138198	1.556108076918223	0.11065478547137429		0.0	-9.641464599845229	3.0		0.0		0.0		0.0	-7.100242557246588	1.0	-6.2844238057098	2.0	-7.900296542298952	2.0	-3.098819142338164	2.0	-7.291089636671305	1.0	-3.60471870226059	1.0	-1.265098173895552	1.0		0.0	-5.110398510769439	1.0		0.0	-3.6590430180597897	2.0	-5.497347318191742	1.0
samp_04	-6.931363263856157	2.161648099649914	-0.1655945871644267	-0.5345921810817431	1.0	-9.993344423270624	3.0	-9.041193537642796	1.0	-9.868584943810378	1.0	-9.241749103992554	2.0	-7.283277786553786	1.0	-6.4566941205654445	1.0		0.0	-3.217968990460141	1.0		0.0	-3.7319342244401863	3.0	-1.185133112306376	1.0		0.0		0.0	-4.785477052412339	1.0	-3.783553484654308	1.0		0.0
samp_05	-7.085085690744458	2.0043113957491103	-0.22372894368723778	-0.49201248278117987	1.0	-9.769808305764071	1.0	-8.871559590869696	1.0	-9.62943512897276	1.0	-9.065442724504836	2.0	-7.163253909833436	1.0		0.0	-7.978688194862038	1.0	-3.1257304594530457	1.0		0.0		0.0	-1.1474985535542759	3.0	-6.444718385434124	1.0		0.0	-4.680852514952808	1.0		0.0	-5.550769322643845	3.0
samp_06	-7.209004243463312	1.8615298866940913	-0.0856345232604149	-0.5327204371581742	1.0		0.0		0.0		0.0	-9.039304829459173	2.0	-7.1570924550417425	1.0	-6.339021911757901	3.0	-7.96347471275963	1.0	-3.1339204290955087	2.0	-7.349919384843978	1.0	-3.6426860964245455	2.0	-1.1996124441607698	2.0		0.0		0.0	-4.681931248239945	1.0		0.0	-5.549378376847126	1.0
samp_07	-6.915944783854888	1.8108706063448798	0.021187323143219403	-0.5772869185197649	2.0	-9.872682634006807	1.0		0.0		0.0		0.0	-7.197319867014616	2.0	-6.374346758670041	2.0	-8.029911491239918	1.0	-3.165764729802079	2.0		0.0	-3.674849774403427	3.0	-1.2493026221514898	1.0	-6.476793447614574	1.0		0.0		0.0		0.0	-5.581325947358882	2.0
samp_08	-6.820540082919589	1.8050807126063624	-0.1444375156075534	-0.4966816162901977	1.0	-9.785484646809445	1.0		0.0	-9.648424814512955	1.0		0.0	-7.110602504087633	1.0	-6.287892037412561	2.0	-7.940724984991805	1.0		0.0	-7.3116586779135035	1.0	-3.588463956779342	1.0	-1.1634027664892739	2.0		0.0	-5.105786873860191	2.0	-4.626489056302001	1.0	-3.6413539926959455	2.0	-5.495064667493912	1.0
samp_09	-7.030292444256004	1.6327847824863193	0.02760015691801424	-0.5562810919891256	3.0	-9.703173148156594	1.0	-8.807210970096014	2.0	-9.560136083031441	2.0	-9.000808476046961	1.0	-7.102954105176545	1.0		0.0	-7.915960072856072	2.0		0.0		0.0	-3.597792917940375	1.0	-1.2305476443548053	1.0		0.0		0.0		0.0		0.0	-5.494903126579044	3.0
samp_10	-7.125712480869862	1.5206139380649866	0.16333729511109266	-0.6147299452432357	2.0	-9.686784939618851	3.0		0.0	-9.542282600321842	2.0	-8.997417041237444	1.0	-7.112324057346434	1.0	-6.2951445289480175	2.0		0.0	-3.1095660336685316	1.0	-7.305760126208436	1.0		0.0		0.0	-6.396673260190141	1.0	-5.120127797404792	1.0		0.0	-3.669894440891066	1.0	-5.507194639605743	1.0
