run	log_tbg	log_alphap	log_betap	b9F9_log_P	b9F9_weight	b9G1_log_P	b9G1_weight	b9G2_log_P	b9G2_weight	b9G3_log_P	b9G3_weight	b9G5_log_P	b9G5_weight	b9G6_log_P	b9G6_weight	b9G8_log_P	b9G8_weight	b9H1_log_P	b9H1_weight	b9H3_log_P	b9H3_weight	b9H4_log_P	b9H4_weight	b9H5_log_P	b9H5_weight	b9H6_log_P	b9H6_weight	b9H7_log_P	b9H7_weight	b9H9_log_P	b9H9_weight	b9I1_log_P	b9I1_weight	b9I2_log_P	b9I2_weight	b17E6_log_P	b17E6_weight
fit	-21.601089902866512	0.39740020132741655	0.3379514758729588	-3.2181422963812016	1.0	-5.647488712540946	1.0	-5.898112583406858	1.0	-3.3921888611429583	1.0	-7.87952704157583	1.0	-5.817542663805917	1.0	-5.850070661680399	1.0	-7.578937664232273	1.0	-8.771846171711537	1.0	-8.383816467206708	1.0	-7.691598993167168	1.0	-1.7106278089129299	1.0	-1.2105312884575354	1.0	-6.477117584661212	1.0	-7.028035511186592	1.0	-6.308708978635265	1.0	-5.722041009386013	1.0
samp_00	-22.772507382749083	0.9610923500735267	-0.19042644358485017	-3.214268730931505	2.0	-5.663363705075456	2.0	-5.9141584506006994	1.0	-3.3925381654331446	1.0	-7.896999569182666	1.0		0.0	-5.866046190568841	1.0		0.0	-8.789452604458656	2.0	-8.401325904051093	1.0	-7.7089817692876945	1.0	-1.6397659966366862	1.0		0.0	-6.493945277801935	2.0		0.0	-6.32543614918071	1.0	-5.737570390852849	1.0
samp_01	-6.610077800331572	1.190642202218421	-0.31816214979883223		0.0	-5.732659878737294	3.0		0.0		0.0	-8.130421461385032	2.0		0.0	-5.941135982569379	1.0	-7.780774240822533	1.0		0.0	-8.797198766837637	2.0	-7.924028572695831	2.0	-1.65149339560155	2.0		0.0		0.0		0.0	-6.413465543268884	4.0		0.0
samp_02	-18.697450862461952	0.291763748530551	0.36436940342111357	-3.1799463153108327	1.0	-5.607990740245933	1.0	-5.858614547102818	1.0	-3.3536388490216473	2.0	-7.839927835699085	2.0	-5.778047682136938	1.0	-5.810577299914462	1.0		0.0		0.0	-8.3442034104803	1.0	-7.6519963749922235	1.0	-1.6771489914894198	1.0		0.0	-6.437559562807773	1.0	-6.98845045922228	1.0		0.0	-5.6825789363984205	3.0
samp_03	-21.97664686713051	0.38878199182237744	0.4052809971447255		0.0	-5.676946488354013	1.0	-5.927555783018133	1.0	-3.4226993207887424	1.0	-7.908895004239288	2.0	-5.8469911689642196	1.0	-5.879518278002205	1.0		0.0	-8.80120310990335	4.0	-8.413148259438383	1.0	-7.721007035488555	2.0		0.0	-1.24984004075078	1.0		0.0	-7.057410806500842	1.0		0.0	-5.751512905121513	1.0
samp_04	-21.471021947393012	0.34317571997127677	0.3536192969620248		0.0	-5.628255575484749	1.0	-5.878922547356274	1.0	-3.3735542301894177	1.0	-7.860236133363973	2.0		0.0		0.0		0.0	-8.752556430127424	1.0	-8.364514443575624	1.0	-7.6723183377493385	1.0	-1.6948399944433257	2.0	-1.1957051982395632	1.0		0.0	-7.008766890796982	2.0	-6.289459598054765	1.0	-5.702840269756632	3.0
samp_05	-22.628344254096927	0.8265678946735857	-0.016700019160477267	-3.241035304366492	1.0	-5.683573196889481	1.0	-5.934293580830234	2.0	-3.417920990394502	1.0		0.0		0.0	-5.886206533469403	1.0	-7.616033155689882	1.0	-8.809063028627314	3.0		0.0	-7.728675867230287	1.0	-1.6877351775608866	3.0	-1.166012019191182	1.0		0.0	-7.0649754970364	2.0		0.0		0.0
samp_06	-21.69225849687391	0.23188973694063839	0.4885089784352651	-3.2149520042115447	1.0	-5.6403534004784355	1.0		0.0	-3.388141437243681	1.0	-7.872088752368271	1.0		0.0	-5.842910933120989	1.0	-7.571505193680571	2.0		0.0		0.0	-7.684191952950798	1.0	-1.722196629912899	1.0	-1.2306210881641908	2.0	-6.469796632606515	3.0	-7.020638758858625	1.0		0.0	-5.714965628940861	2.0
samp_07	-21.98465494646896	0.1820551030066848	0.5547037109996549	-3.224708131052582	2.0	-5.6486614953047605	1.0	-5.8992337321820765	1.0		0.0		0.0	-5.818688976726771	2.0	-5.851210848892694	1.0		0.0	-8.772560288853095	2.0		0.0	-7.6923618833647875	1.0		0.0	-1.249423759486841	2.0	-6.478036020057938	2.0	-7.0288582281015515	1.0	-6.309655716374179	1.0	-5.7232933258784815	1.0
samp_08	-20.438401315931493	0.5572764029415982	0.1816258145098797		0.0	-5.648846698890706	2.0		0.0	-3.389864393021107	2.0	-7.881260443406889	1.0	-5.818924653756791	3.0		0.0		0.0		0.0		0.0		0.0	-1.6902831005127477	3.0	-1.1809807612354275	1.0	-6.478698660861926	3.0	-7.029697240844101	1.0		0.0	-5.723326858098092	1.0
