run	log_tbg	log_alphap	log_betap	b2F3_log_P	b2F3_weight	b2F5_log_P	b2F5_weight	b2F6_log_P	b2F6_weight	b2F7_log_P	b2F7_weight	b2F8_log_P	b2F8_weight	b2F9_log_P	b2F9_weight	b2G2_log_P	b2G2_weight	b2G3_log_P	b2G3_weight	b2G4_log_P	b2G4_weight	b2G5_log_P	b2G5_weight	b2G6_log_P	b2G6_weight	b2G7_log_P	b2G7_weight	b2G8_log_P	b2G8_weight	b2H1_log_P	b2H1_weight	b2H3_log_P	b2H3_weight	b2H4_log_P	b2H4_weight	b2H5_log_P	b2H5_weight	b2H7_log_P	b2H7_weight	b2H8_log_P	b2H8_weight	b1I8_log_P	b1I8_weight	b2A1_log_P	b2A1_weight	b2A2_log_P	b2A2_weight	b2A4_log_P	b2A4_weight	b2A5_log_P	b2A5_weight	b2A6_log_P	b2A6_weight	b2A7_log_P	b2A7_weight	b2A8_log_P	b2A8_weight	b2A9_log_P	b2A9_weight	b2B1_log_P	b2B1_weight	b2B2_log_P	b2B2_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight	b2B6_log_P	b2B6_weight	b2B7_log_P	b2B7_weight	b2B9_log_P	b2B9_weight
fit	-5.5989242154569965	4.724535700620012	-0.06619497920418164	-3.9485654326943775	1.0	-2.092368692348014	1.0	-12.311140857605707	1.0	-5.044871474045808	1.0	-4.979196202009326	1.0	-11.70865855598077	1.0	-10.58973851420989	1.0	-5.046879677746128	1.0	-0.5845460483259286	1.0	-6.691710792199644	1.0	-5.111062832778142	1.0	-4.441360384823231	1.0	-4.757281665070615	1.0	-6.655283610770002	1.0	-1.4761359061499324	1.0	-6.915595193687069	1.0	-7.79286426545714	1.0	-6.897496358692378	1.0	-4.706806166076146	1.0	-4.888390402963639	1.0	-7.402364037539524	1.0	-6.449151569943031	1.0	-5.362478325743783	1.0	-4.671196871950679	1.0	-7.9797026230871015	1.0	-10.387564841932354	1.0	-10.535041003639614	1.0	-7.330236941520377	1.0	-4.503469678098212	1.0	-4.296423330435206	1.0	-0.3470978486419827	1.0	-5.323821931295436	1.0	-5.000763022677817	1.0	-4.703679538310123	1.0	-10.161540614888771	1.0
samp_00	-5.513270269455898	4.645981085953734	0.006098674202660412		0.0	-2.100369083833733	1.0		0.0		0.0	-4.9942260568198735	2.0		0.0	-10.600769543991364	2.0	-5.061608566490691	1.0	-0.5871155499758193	4.0	-6.702472791391217	2.0	-5.124926369003506	1.0		0.0		0.0	-6.664530938968919	1.0	-1.4814587828936792	1.0		0.0	-7.803850380073167	1.0	-6.907213274815763	2.0	-4.718846682113588	1.0	-4.9024659518092575	1.0		0.0	-6.458195188603664	1.0	-5.37972959461115	2.0	-4.687321362065103	1.0	-7.9940496643455905	1.0	-10.398679271435338	2.0	-10.545729019905783	2.0	-7.343243262415465	2.0		0.0	-4.312402724551728	1.0	-0.3493237808471448	2.0		0.0		0.0	-4.71778026142469	1.0		0.0
samp_01	-5.496952660141952	4.821351568817908	-0.09843385351562145	-3.945577440162598	1.0	-2.0888379966687944	2.0		0.0	-5.05764672373021	1.0	-4.991689954289194	1.0	-11.804633792105223	1.0		0.0	-5.06044747546057	2.0	-0.5840368297746782	1.0		0.0		0.0	-4.445200694321456	1.0	-4.767252769781771	2.0		0.0	-1.4737857164613675	1.0		0.0	-7.852864246938655	2.0		0.0	-4.718652799945723	1.0		0.0	-7.467972870180146	1.0	-6.486342893215144	1.0		0.0	-4.679150912831827	1.0		0.0	-10.471803354130023	1.0	-10.618597609131129	2.0	-7.3863578632363796	2.0	-4.510578739957132	1.0	-4.300478342826203	2.0	-0.34694584363600234	1.0	-5.343070420244153	2.0		0.0	-4.7137323193406315	2.0	-10.249071873806312	3.0
samp_02	-5.552633250679001	4.595319021015824	-0.014062797068434883	-3.9572791974013373	1.0	-2.099300988533915	1.0	-12.260766442817168	2.0	-5.035575324625215	2.0		0.0		0.0		0.0	-5.036369515804792	1.0	-0.5860217543225417	3.0	-6.659299615836468	1.0	-5.098851963747782	1.0	-4.4416461698230965	2.0	-4.7501698244329615	4.0		0.0	-1.480786626549222	1.0	-6.879905192971469	2.0	-7.748986087893498	1.0		0.0	-4.696685970955373	1.0	-4.8788173386832865	3.0	-7.364178468106338	2.0		0.0	-5.3512568916284	1.0		0.0		0.0	-10.320403134961694	2.0	-10.467902293138303	2.0		0.0		0.0		0.0	-0.34808791036189307	1.0		0.0	-4.9922681158497495	1.0		0.0		0.0
samp_03	-5.517496912433654	4.424403033210552	0.07510020153102051	-3.97451759661285	3.0		0.0	-12.200880601062483	2.0	-5.028556617712935	2.0		0.0		0.0	-10.44898883275766	1.0	-5.027859752737241	2.0	-0.5897929416730735	3.0	-6.624485814704231	1.0		0.0	-4.447069731198657	1.0	-4.745953194125236	2.0	-6.5873308379891515	1.0		0.0		0.0		0.0	-6.824532515627782	1.0	-4.68868768204379	2.0		0.0	-7.321648137899271	2.0	-6.385592558437922	1.0	-5.341761745475179	1.0	-4.665530548202767	1.0		0.0	-10.246948214271999	2.0	-10.394520831379388	1.0	-7.249164375778709	2.0	-4.498976815029875	1.0		0.0	-0.35102476724989085	1.0		0.0		0.0	-4.69146081014138	1.0	-10.02073992899232	1.0
samp_04	-5.727089645140977	4.744026092037676	-0.09233960354817018	-3.940079347252814	1.0	-2.089606842017595	2.0		0.0		0.0	-4.969127245697983	1.0	-11.664823999671722	2.0	-10.556406966363896	1.0		0.0	-0.5835274118970852	3.0	-6.674250712793676	2.0	-5.100968881325521	1.0		0.0	-4.748030980761327	1.0		0.0	-1.4743037728234771	1.0	-6.8989269753494655	3.0		0.0	-6.879762711121077	1.0	-4.698740266573632	2.0	-4.879014435942144	1.0		0.0	-6.4348935666139555	1.0	-5.349729461682235	3.0	-4.661786954686005	1.0	-7.949151325610214	1.0		0.0	-10.502164196310623	1.0	-7.305810465667381	2.0	-4.494958460869165	1.0		0.0		0.0		0.0	-4.990224060297637	1.0	-4.694886664415359	1.0	-10.123319174977865	1.0
samp_05	-5.611440767046205	4.919596146364909	-0.11954776327637673		0.0	-2.085949382081353	1.0	-12.445612524656042	2.0	-5.0673227025844705	1.0		0.0		0.0		0.0	-5.071215214422459	2.0		0.0		0.0	-5.13824801393876	1.0	-4.447826802509614	3.0		0.0	-6.723180882712348	1.0	-1.4719215897231575	2.0	-6.989415022367001	1.0	-7.886614126544298	2.0		0.0	-4.729479901025345	1.0	-4.910742851119592	1.0		0.0	-6.51240445608828	2.0	-5.3893224822032835	1.0	-4.685463804428178	2.0		0.0		0.0	-10.673754648694842	2.0		0.0	-4.516687411047135	2.0		0.0	-0.34699897001331526	2.0	-5.359156100226931	1.0	-5.021828779602899	1.0	-4.722405174907965	4.0		0.0
samp_06	-5.6324877785686445	4.5099928249319525	0.09125749947677456		0.0		0.0	-12.236103242083907	3.0	-5.0592245957626005	1.0	-4.992940680288978	1.0	-11.642936810237495	1.0	-10.526246581602084	3.0	-5.059071455729206	2.0	-0.5904881062440803	1.0	-6.669331416747506	1.0	-5.120601349324577	1.0	-4.468550467157773	1.0	-4.773611380516268	1.0		0.0		0.0		0.0	-7.7533775424728235	1.0	-6.8711243099316235	1.0	-4.717305333864352	2.0	-4.901255518491185	1.0		0.0		0.0	-5.374895689836624	2.0	-4.691362645047887	2.0	-7.936015565074027	2.0		0.0		0.0	-7.296686701158439	1.0	-4.523117411440439	1.0		0.0		0.0	-5.3260894581574725	3.0	-5.016280083216738	1.0	-4.718868604358808	1.0	-10.096263155266524	1.0
samp_07	-5.571536585443374	4.779440494873018	-0.12337089039248673	-3.9347275328995375	1.0		0.0	-12.324201931546037	1.0	-5.0333002531166935	1.0		0.0		0.0		0.0		0.0	-0.5827908966236193	1.0	-6.688791283073399	2.0	-5.10077445084546	1.0	-4.428347131580256	3.0	-4.746164569284576	3.0		0.0	-1.4726068082409858	2.0		0.0	-7.793898213002282	3.0	-6.8956138484649765	1.0		0.0	-4.877835313731051	1.0	-7.40341792477009	1.0		0.0	-5.350476159597291	2.0	-4.659272052276203	1.0	-7.981841015112584	2.0	-10.390642962864867	1.0	-10.53799770928541	2.0		0.0	-4.492366282905637	2.0	-4.284790817897824	3.0		0.0		0.0	-4.988986400169887	1.0		0.0		0.0
samp_08	-5.67783930199945	4.782265032455421	-0.07902141349661113	-3.946934366959657	1.0	-2.0903676608718	2.0	-12.314668225717085	1.0	-5.051369597490971	1.0	-4.98580141436651	2.0	-11.729112648562111	1.0		0.0	-5.0539706674703115	1.0		0.0	-6.7063498431332675	2.0	-5.118938704064793	1.0		0.0		0.0		0.0		0.0	-6.932021393020107	3.0	-7.81052869149687	1.0	-6.9132472766078745	1.0	-4.7138147344723595	3.0	-4.895110717805209	1.0	-7.413913880455912	1.0		0.0		0.0	-4.675651565456252	4.0		0.0		0.0		0.0	-7.34521119565336	1.0	-4.5077033170910825	2.0	-4.298962205901669	1.0	-0.34707104666639355	1.0		0.0	-5.006907642117156	2.0	-4.709470208042028	1.0	-10.18861159967766	1.0
