run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2A7_log_P	b2A7_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
fit	0.05247683842083936	-4.935810699115949	1.0	-2.172918082623972	1.0	-4.798359717691053	1.0	-4.5632102691586605	1.0	-0.5923627348137356	1.0	-4.6966760573439545	1.0	-4.683329512870162	1.0	-5.160690161114431	1.0	-1.5190724322640543	1.0	-4.0969434282884425	1.0	-4.5750319974456675	1.0	-7.769554207646046	1.0	-4.903805536904544	1.0	-0.3529846457552347	1.0	-4.1944004459402064	1.0	-4.680618134865952	1.0	-5.253108388419108	1.0	-6.270296801528919	1.0	-9.722112771703678	1.0	-9.965421279834578	1.0	-7.187821493849487	1.0	-5.32072164746477	1.0	-9.8903993532828	1.0
samp_00	-0.09306593341764695		0.0		0.0	-4.773730318510511	2.0	-4.541289322156959	3.0		0.0	-4.6718127274526315	2.0	-4.659899978947025	1.0	-5.133060336729467	2.0	-1.5221829669446787	3.0	-4.084562329236727	2.0	-4.554669197475047	1.0		0.0		0.0		0.0		0.0	-4.656334746383963	1.0	-5.22331966019013	3.0		0.0	-9.650731728461285	2.0		0.0		0.0		0.0	-9.82113080921321	1.0
samp_01	0.1398299710186514	-4.95031390305938	3.0	-2.170196577238386	1.0	-4.8119938833459	1.0		0.0	-0.5923518198101828	1.0		0.0		0.0		0.0		0.0	-4.10339443974926	1.0		0.0	-7.797532899832763	2.0	-4.918458266756941	1.0	-0.3531458662784133	1.0	-4.205338550664103	2.0	-4.694055319532216	1.0	-5.269802366600792	3.0		0.0	-9.762725615074247	1.0	-10.00552945217612	1.0		0.0	-5.337041296592945	3.0	-9.929823279453235	1.0
samp_02	0.15522432184033685	-4.952781813002722	1.0		0.0	-4.81431445715713	1.0		0.0	-0.5923543340939744	1.0	-4.712801531849744	1.0		0.0		0.0	-1.5170574480181829	1.0		0.0	-4.58801614802818	2.0	-7.8023596034463525	1.0	-4.920953998123621	4.0	-0.3531787882421675	1.0	-4.2071872128262955	1.0	-4.696340378809333	1.0		0.0	-6.294644288409906	1.0	-9.769715954043551	2.0	-10.012429520618298	3.0		0.0	-5.339827508325094	1.0	-9.936588425750326	1.0
samp_03	0.03727416023659956	-4.933199002162964	2.0	-2.1733993449206412	1.0		0.0	-4.561031050668023	2.0	-0.5923654123501125	1.0	-4.694190985792226	2.0		0.0	-5.1579194624614475	4.0		0.0	-4.095749736512129	1.0	-4.573019532212372	1.0	-7.764580889129209	1.0		0.0		0.0	-4.19241809729564	3.0	-4.67819322613603	3.0	-5.250113044772189	1.0		0.0		0.0		0.0		0.0	-5.317791198106428	1.0		0.0
samp_04	-0.13532421621753904	-4.901680184397837	1.0		0.0	-4.766121478831079	1.0	-4.534475327279374	3.0		0.0	-4.664137963693239	1.0	-4.652643667354747	3.0	-5.124574127829714	2.0		0.0	-4.080556403419914	2.0		0.0		0.0		0.0	-0.35256463806046684	1.0		0.0	-4.648828434820368	1.0		0.0	-6.222503334562117	1.0	-9.629147510708176	1.0	-9.873518034519302	3.0	-7.130871496464947	1.0	-5.2826265190208055	1.0	-9.800206836946305	1.0
samp_05	0.06022460318891888	-4.937132605299999	3.0	-2.1726748989562186	3.0		0.0	-4.564308465707446	3.0	-0.5923654782395521	1.0	-4.697935039771922	2.0	-4.6845122499111	2.0		0.0	-1.5189201854970373	1.0		0.0		0.0		0.0	-4.9051394503699655	1.0		0.0		0.0		0.0	-5.254624357485813	1.0	-6.272175587892139	1.0		0.0	-9.969054018157992	1.0	-7.190076619433564	1.0	-5.322203989176979	2.0	-9.89395537901316	1.0
samp_06	-0.03627907120907696		0.0	-2.1757819193486285	1.0	-4.783632882561966	1.0	-4.550127361658311	1.0		0.0		0.0	-4.669326426880376	2.0	-5.1441346882137715	2.0		0.0	-4.089628527217789	1.0	-4.562899171920396	1.0	-7.740099747275248	3.0	-4.888034927622805	1.0	-0.35279449208089797	1.0	-4.182481141090295	1.0		0.0		0.0	-6.248239569694073	2.0	-9.679121068253936	2.0		0.0	-7.1614480203104005	1.0	-5.303233911826473	3.0		0.0
samp_07	0.09944058523742075	-4.943716105558643	2.0	-2.171463556175302	1.0	-4.805796013383705	1.0	-4.569785802403145	1.0		0.0		0.0		0.0		0.0	-1.5181361210002555	2.0	-4.1004973337878345	1.0		0.0	-7.78472258061377	2.0		0.0	-0.35307774101213324	1.0	-4.200379345160497	3.0		0.0	-5.262194817230833	2.0		0.0	-9.744161229773962	2.0		0.0	-7.201377713171667	2.0	-5.329604740656349	2.0	-9.911793260525737	1.0
samp_08	0.004220624713058393		0.0		0.0		0.0		0.0		0.0	-4.688698265507413	2.0	-4.675829411792586	1.0		0.0	-1.5200685702044914	2.0	-4.093066677528471	1.0		0.0	-7.753666938135196	1.0	-4.895341016916375	3.0		0.0	-4.188022883368177	1.0	-4.6728316165597725	2.0		0.0		0.0	-9.698952731882702	3.0	-9.942537033590286	1.0		0.0	-5.311327418309247	4.0	-9.867925622990512	2.0
