run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
fit	-1.9079849675001697	-5.081715561365811	1.0	-2.4294843456692856	1.0	-4.816439332828303	1.0	-4.697597880257605	1.0	-0.652181592823885	1.0	-4.776543396156043	1.0	-4.844381829015442	1.0	-5.1962703325387	1.0	-1.7138889233546644	1.0	-4.206796411924294	1.0	-4.643462871377692	1.0	-7.596570226723002	1.0	-4.741978468606095	1.0	-0.33822078604727646	1.0	-4.040425810014125	1.0	-4.50180727682486	1.0	-4.997384742492909	1.0	-6.07493542157108	1.0
samp_00	-1.825447743493402	-5.113376383922532	2.0		0.0		0.0	-4.727511201034538	1.0	-0.6505704474311418	1.0	-4.8071941117147725	2.0		0.0		0.0	-1.7087216676695403	1.0	-4.233187960657999	1.0	-4.672941007948299	2.0	-7.63972875631024	2.0		0.0	-0.3405522836359801	2.0	-4.068399041387073	1.0		0.0	-5.029322304964264	1.0	-6.10988406974957	2.0
samp_01	-1.7384758037572159	-5.146401987581666	1.0		0.0	-4.879089549407355	1.0	-4.758583295789676	1.0		0.0	-4.83908423834856	1.0	-4.906811968026658	2.0	-5.261954662409138	4.0		0.0		0.0		0.0		0.0	-4.80494977181308	1.0	-0.34271187226177796	1.0		0.0	-4.562952826202121	2.0	-5.062648345870803	3.0	-6.146563727217095	1.0
samp_02	-1.8737941621938352	-5.094866193057765	1.0	-2.430220319283493	3.0	-4.82919799847603	1.0		0.0		0.0	-4.789286045429244	2.0	-4.857103728814349	2.0		0.0		0.0	-4.21780384866027	1.0		0.0	-7.614394397306846	2.0	-4.7548022994010815	1.0	-0.339222026058315	1.0	-4.052070477181943	2.0		0.0	-5.010647404692131	1.0	-6.089428197695569	1.0
samp_03	-1.5686976227988576	-5.209687299164995	1.0		0.0		0.0	-4.817753686810985	1.0	-0.6447641260616013	1.0		0.0		0.0		0.0	-1.6888460884694527	3.0	-4.311254185790544	1.0	-4.761696839072159	1.0	-7.775789261743506	2.0	-4.866294533892973	1.0		0.0	-4.151820530393485	1.0	-4.622239506165133	1.0	-5.126530163733736	2.0	-6.217564920519383	3.0
samp_04	-1.864205287857715	-5.098549044032539	2.0	-2.430381934713448	1.0	-4.832768770324347	1.0	-4.713515162345767	1.0		0.0	-4.792847115406732	1.0	-4.860656494065892	1.0	-5.213349257285655	1.0	-1.7112385994941188	1.0		0.0	-4.659154859844281	1.0	-7.619411927657783	1.0		0.0	-0.3394994374457701	2.0	-4.055327757097266	1.0	-4.517767594453656	2.0		0.0	-6.093487486827499	2.0
samp_05	-1.9182257704286916	-5.077766571380811	1.0	-2.429205645334758	1.0		0.0	-4.693867478937444	1.0	-0.6523698570916565	1.0	-4.7727199277153165	1.0	-4.840565973208937	1.0		0.0	-1.714475112354458	2.0	-4.203496144731823	1.0	-4.639787705477472	1.0	-7.591211756132593	2.0		0.0	-0.337902755952289	1.0	-4.036916496681736	3.0	-4.498062362335287	2.0		0.0		0.0
samp_06	-1.9153997223633137	-5.078855553900149	1.0	-2.42928386474603	1.0	-4.813665086269867	1.0		0.0	-0.6523290167827576	4.0		0.0		0.0	-5.193368421756374	2.0	-1.7143087914275155	1.0	-4.2044074700324865	1.0	-4.6408046639924665	1.0		0.0	-4.739190664964357	2.0	-0.33798613165699076	1.0		0.0		0.0		0.0	-6.071796010289784	3.0
samp_07	-2.041553403593724	-5.0298968484735	1.0	-2.4241804666152285	2.0	-4.766072457190938	1.0		0.0	-0.6543776310219855	2.0	-4.7262455491626065	2.0	-4.794185022300965	1.0	-5.1437386552605	2.0	-1.7204790116143172	1.0		0.0	-4.594966344224096	1.0	-7.527394288176892	1.0		0.0	-0.33370971510024244	1.0	-3.994121078092129	1.0	-4.452480950069319	1.0		0.0	-6.018199869810943	1.0
samp_08	-1.9228891423448011	-5.075968710268204	1.0	-2.429075283084337	1.0	-4.8108558703716	2.0	-4.692161270973997	1.0	-0.6524635499678675	2.0	-4.770968675564177	2.0		0.0	-5.1904410552587885	1.0	-1.7147310282259103	1.0	-4.201981891733364	1.0	-4.638104619471248	1.0		0.0	-4.736371361610462	2.0		0.0		0.0	-4.4963540263460775	1.0	-4.99158655875902	1.0	-6.0686219609951015	1.0
