run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight
fit	-1.326450236264945	-4.982182030866345	1.0	-2.315765071753295	1.0	-4.823564807190509	1.0	-4.613053856124476	1.0	-0.6290104791120916	1.0	-4.676458965219891	1.0	-4.792907974402233	1.0	-5.1204220421726605	1.0	-1.6234307838836302	1.0	-4.150333799321569	1.0	-4.566858875397492	1.0	-7.384945562125872	1.0	-4.6918093496449655	1.0	-0.3521572812134072	1.0	-4.978114463035863	1.0
samp_00	-1.500444106839053		0.0	-2.321102896593206	1.0		0.0		0.0	-0.6319662318841212	2.0	-4.618791859279098	1.0	-4.73557476892926	1.0	-5.0592939572447895	1.0	-1.634341458684323	3.0	-4.10434499771289	3.0		0.0	-7.304297042596505	1.0	-4.633075241085239	1.0		0.0	-4.916348964558431	1.0
samp_01	-1.5551793262441367	-4.90308697037417	3.0	-2.321953798234019	1.0	-4.746587855327943	1.0	-4.539649027076397	2.0	-0.6328563972404473	3.0		0.0		0.0		0.0	-1.6375588059676087	1.0	-4.089137679261466	1.0		0.0		0.0		0.0	-0.3494001246438108	2.0	-4.896462438496723	1.0
samp_02	-1.3703937603154375	-4.96730981129398	2.0	-2.3174543984141187	2.0	-4.809119055228047	2.0	-4.59933086946253	1.0	-0.6297777206573192	1.0	-4.662147516694063	1.0		0.0	-5.105210455500252	1.0	-1.6262640555944459	1.0	-4.139083560804709	1.0		0.0	-7.364631044027348	2.0	-4.677222292355668	1.0		0.0		0.0
samp_03	-1.5071152315090885	-4.920042497592354	1.0	-2.3212279612484523	2.0		0.0		0.0		0.0	-4.616527456622593	1.0	-4.733327861847205	3.0	-5.05690123586937	3.0	-1.6347373428114729	2.0		0.0		0.0	-7.301188580197033	1.0	-4.6307670712721	1.0	-0.3500666749235775	1.0		0.0
samp_04	-0.9109623487602769		0.0	-2.2917796111585838	1.0	-4.950822302296976	2.0	-4.732795666928516	2.0		0.0	-4.802292172871943	1.0		0.0		0.0		0.0	-4.244349609952164	1.0	-4.6832263280285895	1.0	-7.573684815317027	3.0	-4.820481913710089	1.0		0.0	-5.1150351310958015	3.0
samp_05	-1.4167113244644993		0.0	-2.318999835881744	2.0	-4.793730427113262	2.0	-4.584666939590937	1.0		0.0	-4.646847254167027	2.0		0.0	-5.088999965415483	3.0		0.0	-4.126932592558007	1.0	-4.5391254284175195	1.0	-7.343191793225926	2.0		0.0	-0.3512246257311981	1.0		0.0
samp_06	-1.00139485744361	-5.086696383963007	1.0		0.0	-4.924642761404809	1.0	-4.7083555898138005	2.0		0.0	-4.776449148549028	1.0		0.0	-5.2277370356004225	2.0	-1.6022128295875835	1.0	-4.225884688746061	1.0		0.0		0.0	-4.793988821276981	1.0	-0.35445452022101914	1.0	-5.086637135171017	4.0
samp_07	-1.630127494845028	-4.87631452336693	2.0		0.0		0.0	-4.51459160470483	1.0	-0.6340213234400542	2.0	-4.574165211204783	1.0	-4.691199173404803	1.0	-5.012309426822805	1.0	-1.6417258160756885	2.0	-4.067770363551593	2.0	-4.470493091238119	2.0	-7.243938260677363	1.0		0.0		0.0		0.0
samp_08	-1.1907774242599871	-5.027015727099833	2.0	-2.309257745013712	1.0	-4.867026140983028	1.0	-4.6542024223781215	1.0	-0.6266662273640728	1.0		0.0		0.0	-5.16637811106145	1.0		0.0	-4.183570120495185	1.0	-4.606971327464409	1.0	-7.447336402632669	1.0	-4.735723111907781	1.0	-0.3533284765196164	2.0	-5.024574954561905	2.0
