run	log_tbg	log_alphap	log_betap	b14A8_log_P	b14A8_weight	b14A9_log_P	b14A9_weight	b14B1_log_P	b14B1_weight	b14B2_log_P	b14B2_weight	b14B3_log_P	b14B3_weight	b14B4_log_P	b14B4_weight	b14B5_log_P	b14B5_weight	b14B6_log_P	b14B6_weight	b14B7_log_P	b14B7_weight	b14B8_log_P	b14B8_weight	b14B9_log_P	b14B9_weight	b14C1_log_P	b14C1_weight	b14C2_log_P	b14C2_weight	b14C3_log_P	b14C3_weight	b14C4_log_P	b14C4_weight	b14C5_log_P	b14C5_weight	b14C6_log_P	b14C6_weight	b14C7_log_P	b14C7_weight	b14C8_log_P	b14C8_weight	b3E5_log_P	b3E5_weight
fit	-5.882126393665999	4.530803910383208	-0.09578134880908307	-10.359107670232275	1.0	-12.303569237841957	1.0	-5.961324059427417	1.0	-11.03666123582424	1.0	-10.173287637794061	1.0	-5.387301765667888	1.0	-11.139937029437535	1.0	-6.392183044954151	1.0	-7.224449691546326	1.0	-3.522746768973644	1.0	-11.809365708321572	1.0	-9.98684820792612	1.0	-3.456444854855625	1.0	-5.76351863355984	1.0	-9.166160197489651	1.0	-3.6701563633934016	1.0	-5.381851034795043	1.0	-5.205814209359132	1.0	-5.120187655619279	1.0	-4.502685756743464	1.0
samp_00	-5.729732502896752	4.859051390181427	-0.2419894175722361	-10.577320971022557	3.0	-12.572928966416825	1.0	-6.029595089780743	1.0	-11.245634383502797	1.0		0.0		0.0		0.0	-6.4768380675085915	2.0		0.0	-3.5043245249313495	1.0	-12.051336658150449	3.0	-10.183395024724152	1.0		0.0		0.0	-9.371146535575212	2.0	-3.649614103402143	2.0	-5.42445390821259	1.0		0.0		0.0	-4.511704026052632	2.0
samp_01	-5.793028002517746	4.783936482751554	-0.17917036605957565	-10.551460155227607	1.0		0.0	-6.028756060083279	1.0		0.0	-10.357208829997143	1.0		0.0	-11.324386897971765	1.0	-6.472235727956284	1.0		0.0		0.0	-12.013758716317104	3.0	-10.161763722533667	2.0	-3.4542103649673175	1.0		0.0	-9.34445346148925	1.0	-3.6611910390341955	1.0	-5.429167438496113	3.0	-5.244684229409521	2.0	-5.158835092448695	1.0	-4.521078275017676	1.0
samp_02	-5.883852738177278	4.469250769136297	-0.06068265877716392		0.0	-12.276327135795027	3.0		0.0		0.0	-10.147269427787837	2.0	-5.382879054793094	1.0	-11.113876841644588	1.0	-6.381784401187831	1.0	-7.210304506309792	1.0	-3.52886021710699	1.0	-11.782040941104551	1.0		0.0	-3.460846096678889	1.0		0.0	-9.142264470153306	1.0	-3.676715457891337	1.0	-5.377082394734207	1.0	-5.2027641267009	2.0	-5.117005678476633	1.0	-4.5033946908377045	2.0
samp_03	-5.84641455109526	4.422697606506192	-0.04078590221487933	-10.314576623355716	4.0	-12.270108850529708	1.0	-5.9441831839826405	1.0	-10.992683523932802	3.0	-10.129607893728615	1.0	-5.376916856707305	1.0	-11.096274526948578	1.0	-6.372214046842398	1.0	-7.200315905733262	1.0	-3.531954409838638	1.0	-11.769178614856841	1.0		0.0	-3.4627281451914214	1.0	-5.749722168299951	1.0		0.0		0.0	-5.370853446795987	1.0	-5.197806717665284	1.0		0.0		0.0
samp_04	-5.898297297820905	4.257627568834299	0.020994934995535612	-10.197295766197024	2.0	-12.139347785564619	1.0		0.0	-10.88135649346814	2.0		0.0	-5.344793293940596	1.0	-10.984665641874729	1.0		0.0	-7.1361242066947534	2.0		0.0	-11.645400571035085	2.0	-9.839433138618592	2.0	-3.465434021483847	2.0	-5.711212942694376	1.0		0.0	-3.686321594312988	1.0	-5.338111844717074	1.0	-5.169573325878932	2.0		0.0		0.0
samp_05	-5.838646516858108	4.594784069700833	-0.17224905569813018	-10.357035256668476	1.0	-12.314747894367617	1.0		0.0	-11.033615871284239	1.0	-10.170246732102171	3.0	-5.372866924385025	1.0		0.0	-6.383056326840376	1.0	-7.219242018839235	1.0	-3.5066918261494764	3.0		0.0		0.0		0.0	-5.750594214721817	1.0	-9.165592899604421	1.0	-3.652585695705199	1.0	-5.367922816444352	1.0	-5.19029832047025	3.0	-5.10531318425676	1.0		0.0
samp_06	-5.814266769496698	4.549060132103361	-0.11340365198534302		0.0	-12.341682814000277	1.0	-5.962611212119092	1.0	-11.051625216726986	1.0	-10.188312636422673	1.0	-5.386794940831115	1.0		0.0		0.0	-7.233219974372383	1.0	-3.519504208372405	1.0	-11.835619990017019	3.0	-9.999721918578018	1.0	-3.453778307705865	1.0	-5.764188223795645	1.0	-9.184256845451076	2.0	-3.6666444864752217	1.0		0.0	-5.204758929597064	2.0	-5.119083233947982	2.0		0.0
samp_07	-5.833367515567629	4.138023237603674	0.17992658236174422		0.0	-12.213929491015831	1.0		0.0	-10.933786742235013	1.0	-10.071346942588207	1.0		0.0		0.0	-6.353906926325592	1.0	-7.172262463126768	2.0		0.0	-11.709931860733281	3.0	-9.888257339227836	1.0	-3.504940131230405	1.0	-5.745198228368637	2.0	-9.076525007991746	1.0		0.0	-5.37237059014502	2.0	-5.206257223423426	2.0	-5.1195544755708715	1.0	-4.525554514259011	1.0
samp_08	-6.017310107246241	4.281521494699651	0.05658568122453248		0.0	-12.140512514855734	1.0	-5.926630173013599	1.0	-10.913368581812952	1.0		0.0	-5.3690971475317255	2.0	-11.01615009472733	1.0	-6.348361997670211	2.0	-7.158500468303477	3.0		0.0		0.0	-9.870291491846526	1.0	-3.4777890568226413	1.0		0.0	-9.045121204036851	1.0	-3.700037520989803	1.0	-5.362466021030634	1.0	-5.19328927012646	1.0	-5.107473987319958	3.0		0.0
