run	log_tbg	log_alphap	log_betap	b3G3_log_P	b3G3_weight	b8A2_log_P	b8A2_weight	b8A3_log_P	b8A3_weight	b8A4_log_P	b8A4_weight	b8A5_log_P	b8A5_weight	b8A6_log_P	b8A6_weight	b8A7_log_P	b8A7_weight	b8A8_log_P	b8A8_weight	b8A9_log_P	b8A9_weight	b8B1_log_P	b8B1_weight	b8B2_log_P	b8B2_weight	b8B3_log_P	b8B3_weight	b8B5_log_P	b8B5_weight	b8B6_log_P	b8B6_weight	b8B7_log_P	b8B7_weight	b8B8_log_P	b8B8_weight	b8B9_log_P	b8B9_weight	b8C1_log_P	b8C1_weight	b8C2_log_P	b8C2_weight	b8C3_log_P	b8C3_weight	b8C6_log_P	b8C6_weight	b8C7_log_P	b8C7_weight	b18H6_log_P	b18H6_weight	b18H7_log_P	b18H7_weight	b18H9_log_P	b18H9_weight	b18I4_log_P	b18I4_weight	b18I6_log_P	b18I6_weight	b18I7_log_P	b18I7_weight	b19A3_log_P	b19A3_weight	b19A4_log_P	b19A4_weight	b19A5_log_P	b19A5_weight	b19A8_log_P	b19A8_weight
fit	-5.851906689689746	2.609118880954933	-0.15309320653381575	-4.613425907224675	1.0	-5.6936673503823405	1.0	-9.457886667864877	1.0	-6.590563642885244	1.0	-5.748516474210822	1.0	-1.406691170430704	1.0	-10.447743993388135	1.0	-9.4777465260662	1.0	-10.457722269684325	1.0	-9.817100498296156	1.0	-8.854119431335343	1.0	-9.630338668843573	1.0	-11.145231079762537	1.0	-4.914524278564933	1.0	-4.830797160113899	1.0	-5.5649768952943885	1.0	-5.530583931569447	1.0	-4.909296190959914	1.0	-6.53094466507848	1.0	-5.404355018830174	1.0	-5.658530978378682	1.0	-5.217553657802133	1.0	-5.204964501765945	1.0	-4.867292039046242	1.0	-0.5660982402213715	1.0	-5.388085974032251	1.0	-2.338973264863186	1.0	-5.419200084744972	1.0	-5.293671188257236	1.0	-8.510376997758652	1.0	-1.8936821366991206	1.0	-3.9167558865830308	1.0
samp_00	-5.6108473474016645	2.6931376616490295	-0.18405418465537277	-4.63858841582625	3.0		0.0		0.0	-6.641258403926845	3.0	-5.783461535746626	1.0	-1.4026006049996542	2.0	-10.741237744660936	1.0	-9.679781168976428	1.0		0.0	-10.017757369296456	1.0		0.0		0.0	-11.620046318554675	1.0	-4.942056427042409	3.0	-4.857673881333326	1.0	-5.597640846068541	4.0	-5.56314255834436	1.0	-4.9367570536419	1.0	-6.578475771315398	1.0	-5.435909150006732	3.0		0.0		0.0		0.0	-4.894433345126391	2.0		0.0		0.0	-2.34157706012489	1.0		0.0	-5.324547393380997	1.0	-8.637424656780137	1.0		0.0		0.0
samp_01	-5.940385046454087	2.653365459593053	-0.17087427596371382	-4.623273870213512	2.0	-5.70416836147204	1.0		0.0	-6.598351724317979	1.0		0.0	-1.4037614836043781	2.0	-10.400948318558504	2.0	-9.452308815897837	1.0	-10.430033725014486	2.0	-9.791782382198182	3.0		0.0	-9.603186535512544	1.0		0.0		0.0		0.0	-5.575617896745434	3.0	-5.541140275937629	3.0		0.0		0.0	-5.414881675180524	1.0		0.0		0.0		0.0		0.0	-0.5641088564752661	1.0	-5.398370427774438	2.0	-2.3393357682030786	2.0	-5.429519976607855	1.0		0.0		0.0	-1.8898790018743086	1.0	-3.924738463019474	3.0
samp_02	-5.590170849780476	2.60787492035796	-0.08628485830529924		0.0	-5.737055760318789	3.0		0.0	-6.651731448018114	1.0		0.0	-1.4293800001361696	1.0	-10.777999155301151	2.0	-9.705816048299521	1.0		0.0	-10.043553602913773	2.0	-9.00544788862584	1.0	-9.866423745717158	1.0	-11.681940711610038	1.0	-4.953036295013523	2.0		0.0	-5.606981941399189	1.0	-5.572657995519406	2.0	-4.947635179606529	2.0	-6.58849431586697	2.0	-5.445676526577158	1.0	-5.70257370629147	1.0		0.0	-5.244554774423148	2.0	-4.9054651601655905	1.0	-0.5843642673636232	1.0		0.0		0.0	-5.461327765980432	1.0	-5.334818151003752	2.0		0.0		0.0	-3.9519267205016706	1.0
samp_03	-5.7867561462708315	2.6742129239078403	-0.18566242286293663	-4.626844805572177	1.0		0.0	-9.517311227859219	1.0	-6.6134962096784715	1.0	-5.766413755399763	1.0	-1.4006168620763788	3.0		0.0		0.0		0.0	-9.886787163543007	1.0	-8.904197667330056	2.0		0.0	-11.26885367471728	1.0	-4.929208952081153	1.0	-4.845101159619212	1.0		0.0	-5.547613244602755	5.0	-4.923992732964849	1.0	-6.552975784932971	1.0	-5.420927947757187	2.0	-5.676131695139572	1.0	-5.2334225139622905	1.0	-5.220817517880419	1.0		0.0		0.0	-5.404618850576155	1.0	-2.3372010055475663	1.0	-5.4358511337518305	2.0	-5.309824290583569	1.0	-8.55817791946657	1.0		0.0	-3.9264785370999316	1.0
samp_04	-5.74873790415576	2.8100528930335704	-0.3374076147474847	-4.610160329312268	2.0		0.0	-9.520884602636201	1.0	-6.6058193523358115	1.0	-5.756058270758177	2.0	-1.3652685730455545	1.0	-10.559066507216924	1.0	-9.556430818536366	1.0	-10.532188192195434	1.0	-9.894611785643484	4.0		0.0	-9.711824286505573	2.0	-11.314679651652856	1.0	-4.914634226404734	1.0		0.0	-5.571293008048442	1.0		0.0		0.0	-6.545085204836518	1.0	-5.409177243698493	1.0	-5.665255901178089	1.0	-5.220612161686724	3.0		0.0	-4.8670867810289415	1.0		0.0		0.0		0.0	-5.4237962316264685	1.0		0.0	-8.557909738116916	1.0	-1.8405998995187032	2.0	-3.903091824091196	2.0
samp_05	-5.926359297900285	2.667100677539241	-0.2232929042610991	-4.60286366568573	1.0	-5.683997410314874	1.0	-9.413034838806716	3.0		0.0	-5.738628936741652	1.0		0.0	-10.372419185108253	1.0	-9.42166041431837	1.0	-10.40832781417208	1.0		0.0	-8.818261626745207	4.0		0.0	-11.039695710993177	1.0	-4.904467767659645	2.0	-4.820517923001213	2.0		0.0	-5.520984946936672	1.0	-4.899334708212874	1.0	-6.518680269166185	1.0		0.0	-5.6485311289305224	1.0		0.0	-5.1954595953713545	1.0	-4.85725387622793	1.0	-0.5515610128549885	1.0		0.0		0.0	-5.409229841495558	1.0	-5.283706826401151	2.0	-8.476732258455248	1.0	-1.8708423940713588	2.0	-3.903961283374183	1.0
samp_06	-5.887815814361388	2.5761194930627935	-0.1308378126259556		0.0		0.0		0.0		0.0	-5.742448440248597	1.0		0.0	-10.405994499483853	1.0	-9.445757649635484	2.0	-10.429940607630101	2.0	-9.78601438525267	3.0	-8.832825905838348	1.0	-9.597428740422332	2.0	-11.088181712285923	1.0		0.0	-4.826437738528429	1.0		0.0	-5.524913287950433	1.0	-4.904732429909897	2.0	-6.522963538182127	1.0	-5.398909816865078	2.0		0.0	-5.212448454979021	2.0	-5.19983822852755	1.0	-4.86282288078661	3.0	-0.5700579506507728	1.0		0.0	-2.3421801235063415	1.0	-5.4137399839111815	1.0	-5.288448746896313	2.0		0.0	-1.8999044457659624	1.0		0.0
samp_07	-5.845374000364171	2.646961535618853	-0.1745757587810169	-4.619567607998289	2.0	-5.701631736364972	2.0		0.0		0.0		0.0	-1.4022411254379576	2.0	-10.470120052756387	2.0	-9.498041653419216	1.0	-10.47347222316296	1.0	-9.836584113652647	3.0	-8.869818564249762	1.0		0.0	-11.169428709156335	1.0	-4.921270339223772	1.0		0.0	-5.572785395865272	1.0		0.0		0.0	-6.540081046571971	1.0		0.0	-5.6664219247019805	2.0	-5.224815055862874	2.0	-5.212268826796045	2.0	-4.873974045279891	1.0		0.0	-5.395567469679432	3.0	-2.3368372050542585	1.0	-5.426739147629862	3.0		0.0		0.0		0.0		0.0
samp_08	-6.1399601611979	2.4319678055562632	-0.07787209536901944	-4.5684758506227245	1.0		0.0	-9.242658175025744	1.0	-6.517250961298825	2.0	-5.6911455466522165	1.0		0.0	-10.116545459219177	3.0		0.0	-10.241818789289528	3.0	-9.561225769972527	2.0		0.0	-9.359392252340946	1.0	-10.733885105454117	2.0		0.0	-4.7834912160038225	1.0		0.0		0.0		0.0		0.0	-5.350863779069194	2.0		0.0		0.0	-5.15357411744015	1.0	-4.819449154078056	1.0	-0.5764906424669226	1.0	-5.334576422307476	2.0	-2.335611990872943	2.0	-5.365364533563968	1.0	-5.241267996633081	2.0	-8.348328915076667	1.0	-1.908481099482771	1.0	-3.881306837767726	1.0
samp_09	-5.449467413193744	2.8180663584426426	-0.2838047068599155	-4.645744811758915	1.0		0.0		0.0	-6.6721010257928715	1.0	-5.801224924831582	2.0	-1.381345463728922	2.0	-10.981419007842824	2.0	-9.81276190410797	4.0		0.0		0.0	-9.070834452096204	1.0	-9.980169910691489	1.0	-12.16401800821943	1.0	-4.952071252203769	1.0		0.0		0.0	-5.578735775750934	4.0		0.0		0.0	-5.450397265766007	1.0	-5.709973087295331	1.0	-5.2603727864716125	1.0	-5.247370948152972	2.0		0.0		0.0		0.0		0.0	-5.466012089481234	1.0	-5.338057855018542	1.0	-8.719208995552322	2.0	-1.8602195333261817	1.0	-3.9353810743649023	2.0
samp_10	-5.563039464296359	2.809003178109202	-0.27087087572291	-4.646434092967678	1.0	-5.742307164840656	1.0		0.0		0.0		0.0	-1.3842353245006032	1.0	-10.827360363796235	1.0		0.0		0.0	-10.07768686184953	1.0	-9.02972640762678	2.0	-9.901668434388831	3.0	-11.767991932494702	1.0	-4.952033702084966	2.0	-4.866964748968424	1.0	-5.611576590729032	1.0	-5.5768805301504045	2.0		0.0		0.0	-5.44891526474122	1.0		0.0	-5.259456522601597	1.0	-5.246676206286268	3.0		0.0		0.0	-5.432668268068821	1.0	-2.3260203452397104	3.0	-5.4642250060824775	1.0	-5.33674793266088	3.0		0.0	-1.86389291217697	1.0	-3.937347897675177	1.0
samp_11	-6.081028609272603	2.62516337614704	-0.19325395612618385		0.0		0.0	-9.334720846206945	1.0	-6.561207990020666	1.0	-5.729236009769528	2.0		0.0		0.0		0.0	-10.325517406508427	1.0		0.0	-8.757795096697249	3.0	-9.469111032417239	1.0		0.0	-4.898400515229163	1.0	-4.8147628214711204	2.0		0.0		0.0	-4.893280335292876	1.0	-6.503767375616382	2.0	-5.386805026450929	1.0	-5.639415579856363	1.0	-5.200569554328829	2.0	-5.188376470293874	2.0	-4.851348023776071	2.0		0.0	-5.370085632321482	1.0	-2.3245682916585464	3.0	-5.401147220972673	1.0		0.0	-8.421382931699203	1.0	-1.8788401134290482	1.0	-3.9016759217182133	2.0
