run	log_tbg	log_alphap	log_betap	b13H4_log_P	b13H4_weight	b13H5_log_P	b13H5_weight	b13H6_log_P	b13H6_weight	b13H7_log_P	b13H7_weight	b13H8_log_P	b13H8_weight	b13H9_log_P	b13H9_weight	b13I1_log_P	b13I1_weight	b13I3_log_P	b13I3_weight	b13I4_log_P	b13I4_weight	b13I5_log_P	b13I5_weight	b13I7_log_P	b13I7_weight	b13I8_log_P	b13I8_weight	b13I9_log_P	b13I9_weight	b14A1_log_P	b14A1_weight	b14A2_log_P	b14A2_weight	b14A4_log_P	b14A4_weight	b14A5_log_P	b14A5_weight	b14A6_log_P	b14A6_weight	b14A7_log_P	b14A7_weight	b3G7_log_P	b3G7_weight
fit	-6.175458592331807	3.0830687263043117	-0.17871358914451815	-9.07752302060739	1.0	-6.968795352192211	1.0	-7.576759299132307	1.0	-10.160854814320242	1.0	-7.42741238944213	1.0	-7.882707826887458	1.0	-10.511697285452295	1.0	-5.987517942354867	1.0	-2.9642858597437542	1.0	-5.305304418705429	1.0	-4.362800409349591	1.0	-11.331993342311613	1.0	-13.422224526494688	1.0	0.6371556366959369	1.0	-4.688245924856244	1.0	-5.256989389184999	1.0	-4.405117503363137	1.0	-7.424131289822804	1.0	-9.13843074066258	1.0	-4.635660160417077	1.0
samp_00	-6.225719150455413	3.1427237714221334	-0.2288573981743285		0.0		0.0		0.0	-10.155876454344613	1.0	-7.428034648003258	1.0		0.0	-10.495746226279637	1.0	-5.989548660130238	3.0	-2.952127273245105	1.0	-5.306325884852947	1.0	-4.360829980569599	2.0	-11.294517131493437	1.0	-13.201300344332171	1.0	0.6453971998478208	1.0	-4.687148503809334	5.0		0.0		0.0		0.0	-9.131538066442157	2.0		0.0
samp_01	-6.406117735351607	3.1114809503857654	-0.14330223891927105	-9.051958984771625	1.0	-6.990385727537791	2.0		0.0	-10.156033422121565	2.0	-7.444582532713015	2.0		0.0	-10.461648764693354	1.0	-6.014285985519222	3.0		0.0		0.0	-4.39009311604433	1.0	-11.19932072999526	1.0	-12.740430238742709	2.0	0.6300252400523834	1.0	-4.716013393976431	2.0	-5.285105159765476	2.0		0.0		0.0		0.0		0.0
samp_02	-6.492329614005507	2.776636232609681	-0.07549591183935403	-8.813498177834909	3.0	-6.843924103200593	2.0	-7.412489723278304	1.0	-9.924267329832999	3.0		0.0		0.0	-10.154819833390993	2.0	-5.881761673917168	1.0		0.0		0.0		0.0	-10.799597144389192	1.0	-12.328746894088132	3.0	0.6162781300761357	1.0		0.0		0.0		0.0		0.0	-8.895652771739615	2.0	-4.553154154338405	1.0
samp_03	-6.2295419066139575	3.1382122037191973	-0.16317823859884528		0.0	-7.004452868547511	1.0		0.0	-10.204394544170237	1.0	-7.4638396657584165	1.0		0.0	-10.554419298213487	1.0	-6.02170804656215	1.0	-2.9795154332220113	1.0	-5.337967930249995	2.0		0.0	-11.362030851186935	1.0	-13.239092714440654	1.0	0.6332462200669036	3.0	-4.718572957901477	1.0	-5.289589079860952	4.0	-4.434285440991834	1.0	-7.46051472441782	1.0		0.0		0.0
samp_04	-6.3724123795360095	-10.004961102102824	12.70963162142286	-8.852599126606817	1.0	-6.858572712377036	1.0	-7.435323945186643	3.0	-9.955927884596944	2.0	-7.303747970784359	2.0	-7.742117019870988	1.0	-10.218123108691769	1.0		0.0		0.0	-5.25327011078072	1.0	-4.381221657099752	2.0	-10.910924441668422	1.0	-12.570881374074279	1.0		0.0		0.0		0.0	-4.417181233768585	1.0	-7.300028364176376	1.0	-8.929501061148619	1.0	-4.621616590953275	1.0
samp_05	-6.480677148581986	2.8513009352682137	-0.08087330903866681	-8.869749595048225	1.0	-6.8811770711383256	1.0	-7.454180207569519	2.0		0.0	-7.328181992146224	1.0	-7.766715142425736	1.0		0.0		0.0		0.0	-5.243330094565024	1.0	-4.3164108298078006	1.0		0.0	-12.4140518732985	1.0	0.6176387459684628	2.0	-4.636676442909303	4.0	-5.195495623210438	2.0		0.0	-7.32413174710962	1.0	-8.94999580097618	1.0	-4.583194177748491	1.0
samp_06	-6.113286610047086	3.519539509236661	-0.506179794156306		0.0	-7.029160802190993	1.0	-7.654126799537109	1.0	-10.264426812014527	2.0	-7.49507424566394	1.0		0.0	-10.650195675281344	2.0	-6.032814601599036	1.0	-2.894182541423422	2.0	-5.335494151047821	2.0	-4.363612719233682	1.0	-11.52007396334732	2.0	-13.91005995829	1.0		0.0		0.0		0.0	-4.408504564862357	3.0		0.0		0.0	-4.649544698664791	1.0
samp_07	-5.861392451289619	3.1836819107621928	-0.25514578577221203	-9.210651735446994	1.0		0.0	-7.652376327356884	1.0	-10.265483061172258	2.0		0.0		0.0	-10.706921852331797	1.0	-6.007905415809771	1.0	-2.948455721749919	2.0	-5.318376149157324	1.0	-4.366490735263802	1.0	-11.743888721685659	3.0		0.0	0.6490371254936412	1.0	-4.694789184414279	2.0		0.0	-4.409400299499704	1.0		0.0	-9.250573238763028	1.0	-4.642553422240042	2.0
samp_08	-6.946531276751942	2.912836531953438	-0.14463249969671813		0.0	-6.863218606249331	2.0	-7.410277887888727	2.0	-9.871076680300853	2.0	-7.302201483541223	2.0	-7.72798487007588	3.0		0.0		0.0	-2.9469040877257804	1.0	-5.235769174732805	1.0		0.0		0.0	-11.873763562807197	1.0	0.6326364403295172	1.0	-4.628646383614577	1.0	-5.188295019563233	1.0	-4.349670731911795	1.0		0.0	-8.84387585002324	2.0		0.0
