run	log_tsat	log_tbg	log_F	b5A8_log_P	b5A8_weight	b5B2_log_P	b5B2_weight	b5B3_log_P	b5B3_weight	b5B5_log_P	b5B5_weight	b5B7_log_P	b5B7_weight	b5B8_log_P	b5B8_weight	b5B9_log_P	b5B9_weight	b5C1_log_P	b5C1_weight	b5C2_log_P	b5C2_weight	b5C3_log_P	b5C3_weight	b5C4_log_P	b5C4_weight	b5C5_log_P	b5C5_weight	b5C7_log_P	b5C7_weight	b5C8_log_P	b5C8_weight	b5C9_log_P	b5C9_weight	b5D1_log_P	b5D1_weight	b5D2_log_P	b5D2_weight	b5D3_log_P	b5D3_weight	b5D4_log_P	b5D4_weight	b5D5_log_P	b5D5_weight	b5D6_log_P	b5D6_weight	b5D7_log_P	b5D7_weight	b5E4_log_P	b5E4_weight	b5F2_log_P	b5F2_weight	b5F3_log_P	b5F3_weight	b5F5_log_P	b5F5_weight	b5F6_log_P	b5F6_weight	b5F7_log_P	b5F7_weight	b5F8_log_P	b5F8_weight	b5G1_log_P	b5G1_weight	b5G3_log_P	b5G3_weight	b5G4_log_P	b5G4_weight	b5G6_log_P	b5G6_weight	b5G9_log_P	b5G9_weight	b5H1_log_P	b5H1_weight	b5H2_log_P	b5H2_weight	b5H3_log_P	b5H3_weight	b5H4_log_P	b5H4_weight	b5H5_log_P	b5H5_weight	b5H6_log_P	b5H6_weight	b5H7_log_P	b5H7_weight
fit	5.02711349064745	-6.074940693277066	3.1451521290900377	-7.565171242405991	1.0	-8.182233230855116	1.0	-7.764670844431651	1.0	-9.448662718450752	1.0	-12.224489426352445	1.0	-6.211027045675375	1.0	-10.709814437616178	1.0	-11.019502354602219	1.0	-11.181383532065762	1.0	-5.701771468277819	1.0	-11.965634279929379	1.0	-21.712785791596612	1.0	-13.657361676240543	1.0	-11.121404814716476	1.0	-10.552230707570228	1.0	-10.075573979495486	1.0	-13.932225919687895	1.0	-12.570523831328837	1.0	-10.308500431630906	1.0	-9.4695244070029	1.0	-22.53635515331106	1.0	-12.658508176840899	1.0	-3.5931813513649677	1.0	-3.6434774398048497	1.0	-3.9496937573855724	1.0	-8.76826494463039	1.0	-8.110835360804671	1.0	-4.200654342220379	1.0	-8.027518287985504	1.0	-7.414890310904984	1.0	-9.32052141402779	1.0	-6.865735417171332	1.0	-8.736808235269422	1.0	-7.330813007877449	1.0	-4.804254725647131	1.0	-5.030310139628498	1.0	-6.40453165713491	1.0	-7.332781799380178	1.0	-8.738702050110415	1.0	-3.774066816943251	1.0	-4.596341906888566	1.0
samp_00	17.516526331236857	-6.213446963073536	3.126320404182495		0.0		0.0	-20.219178496433326	2.0		0.0	-24.36060122986	1.0		0.0		0.0	-23.381779683698834	2.0		0.0	-18.19409250945612	2.0	-24.160057300703144	1.0	-29.845338196475858	2.0		0.0	-23.466613060416183	1.0		0.0	-22.500373029231028	1.0	-25.2249410489068	1.0		0.0	-22.698627056196674	1.0	-21.871873152201882	2.0	-36.1085966692831	1.0		0.0		0.0		0.0	-16.45587729219913	4.0	-21.22857783146897	1.0	-20.57700274179738	2.0	-16.703638060106915	2.0	-20.493117122035603	1.0		0.0	-21.77855568609694	3.0		0.0	-21.17116064117665	1.0		0.0	-17.30383345109536	2.0	-17.52817035883136	1.0	-18.88936085148639	2.0		0.0		0.0	-16.28352134410863	4.0	-17.09758352682965	1.0
samp_01	2.8422292280263615	-6.092871443614883	3.3951248782097765	-5.321013652126481	2.0		0.0		0.0	-7.31175784136451	1.0		0.0		0.0	-8.491879308959597	2.0	-8.807485684711395	2.0	-8.98713977065126	1.0	-3.388779643590414	1.0		0.0	-21.720021649338467	1.0	-11.225041733321502	1.0	-8.914855306699332	3.0		0.0	-7.872953198202337	1.0		0.0	-10.349948020121579	1.0	-8.134129152994767	3.0		0.0	-22.542742760985167	1.0	-10.366211101623387	2.0	-1.1536115159101505	3.0	-1.2069440649778522	1.0		0.0	-6.543493994046585	2.0	-5.870125575340102	1.0	-1.8404296859792069	3.0	-5.785854534289429	1.0	-5.143405550054056	2.0		0.0	-4.587602683385811	2.0	-6.540399543598121	1.0		0.0		0.0	-2.6945748307508106	1.0		0.0	-5.066371182854454	1.0		0.0	-1.3570694785285897	1.0		0.0
samp_02	1.6653319864167015	-5.808707690299451	3.484760651303168	-4.212927182572129	1.0	-4.8553001306035375	3.0	-4.432281109090763	1.0	-6.33169552319177	1.0		0.0	-2.705650753705395	1.0	-7.554439013476431	2.0		0.0	-8.298696916169833	2.0		0.0		0.0		0.0		0.0	-8.161845335515189	3.0	-7.471209525415302	6.0		0.0		0.0	-34.21226541946426	1.0	-7.184284583876543	2.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	-4.734604085076325	2.0		0.0	-4.652614882793335	1.0		0.0	-5.980272978148497	3.0	-3.418194334564084	1.0		0.0		0.0	-1.131987966473876	2.0		0.0	-2.9167983872398873	2.0	-3.907794194441809	3.0	-5.385617801278712	2.0	0.06980964649742061	1.0	-0.8945817924517481	1.0
samp_03	2.5431043683126138	-6.052558944368149	3.3339741328909396		0.0	-5.677120997218899	3.0		0.0		0.0	-9.810389392950992	1.0	-3.6381374955261316	1.0		0.0		0.0		0.0		0.0	-9.5497162915138	3.0	-21.7294898628633	1.0	-11.47998606090555	1.0	-8.662182531583298	2.0	-8.10299289241797	2.0		0.0	-11.950586196364219	1.0	-10.242164612561824	1.0	-7.857592510218397	1.0		0.0		0.0	-10.268403210157002	1.0	-0.8500272244624475	1.0		0.0		0.0		0.0	-5.59032560600441	1.0	-1.5559889113450907	1.0	-5.506465433240142	4.0	-4.867284847691339	1.0	-6.816011964333416	1.0		0.0		0.0		0.0	-2.173731001120634	2.0	-2.413497802288526	2.0	-3.837726541216205	3.0	-4.790334738957199	1.0	-6.230549077384763	2.0	-1.057945019795978	3.0	-1.9538170937683992	1.0
samp_04	8.498670315379362	-6.013020851867	3.058196096894412		0.0		0.0	-11.270883586757167	2.0	-12.944573120456855	1.0	-15.931324508801788	2.0	-9.724019370730826	2.0	-14.237411259118506	3.0	-14.562688086127258	2.0	-14.733391592470358	2.0		0.0		0.0		0.0	-19.840131227189943	2.0	-14.670766720409882	2.0	-14.069850445964443	2.0		0.0		0.0	-16.382921405588313	3.0	-13.818655120839109	1.0	-12.967067824843316	1.0	-22.609802003461088	1.0	-16.51807978860305	2.0	-7.12076752439858	2.0		0.0	-7.471544934732113	2.0		0.0		0.0		0.0	-11.531509688827509	1.0		0.0	-12.820651443327069	1.0		0.0	-12.236224553675404	1.0	-10.83924899944503	1.0		0.0	-8.546701276919743	1.0		0.0	-10.840857205288264	1.0	-12.238842016985801	1.0	-7.2990190119453215	1.0	-8.114772993777216	1.0
samp_05	8.012552985533304	-6.033933270094448	3.083064782055722	-10.575583995154437	1.0	-11.189307018228877	2.0		0.0	-12.448888515274733	1.0	-15.358479754480857	3.0	-9.226095385782402	2.0	-13.732123476975291	3.0	-14.051679985512978	4.0		0.0		0.0	-15.06433211787344	2.0	-21.81744201211899	1.0		0.0		0.0	-13.567218311959248	2.0		0.0		0.0	-15.765000078325608	2.0	-13.318643042835273	1.0	-12.471379993015507	2.0	-22.602231618444954	1.0		0.0		0.0		0.0		0.0	-11.773248419024236	1.0	-11.118400397110639	1.0	-7.221376344867104	1.0		0.0		0.0	-12.325418453277694	1.0		0.0	-11.740869984371146	1.0	-10.34218152563807	2.0	-7.823672678237765	1.0	-8.04868024585856	1.0	-9.419000165573909	1.0	-10.343942945526372	1.0	-11.743775289027269	1.0	-6.800836055833602	2.0		0.0
samp_06	8.494883026699794	-6.178787711694088	3.091118282712315	-11.020042280732483	1.0	-11.62911113877012	1.0	-11.21450373674112	3.0	-12.82331755060865	1.0		0.0		0.0	-14.111226509678087	2.0	-14.390982366713065	3.0	-14.522326735287544	1.0	-9.189412863379507	1.0	-15.199461405634544	1.0	-23.330539471413143	3.0	-16.292550700484888	1.0		0.0		0.0	-13.495931857234783	1.0		0.0	-15.633866451970455	1.0		0.0	-12.8661121347805	1.0		0.0		0.0		0.0	-7.150107760384471	1.0	-7.450915666625089	1.0	-12.220530887915814	1.0	-11.570516755386265	2.0	-7.698761185640444	2.0	-11.487003949010518	1.0	-10.89239421842369	1.0		0.0		0.0	-12.164946418648231	1.0	-10.797657670126785	4.0	-8.299103216984498	1.0	-8.523427053534755	1.0	-9.884765624431179	2.0		0.0		0.0	-7.278435562940529	1.0	-8.09277670314673	1.0
samp_07	2.503241680028358	-6.008329035389235	3.266729488779228		0.0		0.0	-5.235676249478148	1.0	-7.000028971274642	2.0		0.0	-3.6292320524798694	1.0		0.0	-8.562204337546264	3.0	-8.755171519639665	1.0	-3.1041177157395468	1.0		0.0	-21.823904021694617	3.0	-13.803628090479837	1.0	-8.678091131466537	1.0	-8.095700206833284	2.0		0.0	-16.01436880976205	1.0		0.0	-7.844629034511817	1.0	-6.999538639811773	2.0		0.0		0.0		0.0	-0.9002493482274411	2.0	-1.2655621683603206	1.0	-6.240588216682878	4.0	-5.57277026692698	1.0		0.0		0.0	-4.853728423994026	3.0		0.0	-4.301778408767002	1.0	-6.234733322442587	2.0		0.0	-2.1671571846081426	3.0	-2.4065559387021915	3.0		0.0	-4.777222579298994	1.0		0.0		0.0		0.0
samp_08	2.5887541828151184	-6.204312070325228	3.4266109744153552		0.0	-5.664262110547342	2.0	-5.233617672623057	1.0		0.0		0.0	-3.630887670321381	1.0	-8.1648960120441	3.0	-8.4544992595729	2.0		0.0		0.0		0.0	-21.703721333250893	1.0		0.0		0.0	-8.040698793199073	3.0	-7.568854352769321	1.0	-10.345208057044337	1.0	-9.708850179801557	1.0		0.0	-6.9970066801543185	1.0	-22.540517081182543	1.0	-9.735983871106088	2.0	-0.8423975323512142	1.0	-0.8960037302007243	1.0		0.0		0.0	-5.585169646124659	2.0	-1.5521755713304854	2.0	-5.499928295019692	2.0	-4.866384098340372	2.0	-6.814355355482834	2.0	-4.303835098993292	1.0		0.0	-4.782353636096998	1.0	-2.170147603867817	1.0		0.0		0.0	-4.783538885698802	2.0	-6.228695200887766	2.0	-1.0515236389806946	1.0	-1.950113537142847	1.0
