run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
fit	-1.3261766170898837	-2.391404130254732	1.0	-0.972924008671845	1.0	-4.422541311941114	1.0	-5.113065539571589	1.0	-1.999458967686506	1.0	-2.5790223474166125	1.0	-0.9569223614062428	1.0	-4.884933804361181	1.0
samp_00	-0.22854350740347484	-2.2082950064727487	1.0	-0.7672266544845594	1.0	-4.247940743492369	2.0	-4.936134184078909	2.0		0.0	-2.3970280048632953	1.0	-0.7448831598977194	1.0		0.0
samp_01	-1.3421328111929498	-2.3931130389961046	1.0	-0.9747504447068892	1.0	-4.424202138486933	2.0	-5.1147587496148414	1.0	-2.001211139226978	2.0		0.0		0.0	-4.886589321719273	1.0
samp_02	-1.4257939328564144		0.0		0.0	-4.432575773652762	2.0	-5.123282741210047	1.0	-2.0100266753363694	1.0	-2.589295551266044	1.0	-0.9683290104615758	2.0	-4.894928686261275	1.0
samp_03	-0.27132806099262347	-2.21827772788035	2.0	-0.7788723676167323	1.0		0.0	-4.94555320261939	2.0	-1.8204247476262225	1.0	-2.4069196208275043	1.0	-0.756911005625428	1.0		0.0
samp_04	-18.445502338645124	-2.5107284049845795	1.0	-1.0978482888038021	1.0	-4.5402015332839625	1.0		0.0	-2.121211618384329	2.0		0.0		0.0	-5.002350671460546	3.0
samp_05	-17.82004476955882		0.0	-1.0978003068292908	1.0	-4.540242085059332	1.0		0.0	-2.1211969552996357	3.0		0.0	-1.0855927177252747	1.0	-5.002339833805444	2.0
samp_06	-0.3442421586902482		0.0		0.0	-4.27268324920809	1.0	-4.961102056036858	2.0	-1.8375325487990921	1.0	-2.4231984458120146	1.0	-0.7765659199674841	1.0	-4.736112064369169	2.0
samp_07	-1.2652614348807418	-2.3846809011874273	1.0	-0.9656688857137283	2.0		0.0	-5.106410645154704	1.0	-1.9925568085356216	1.0	-2.57231948297586	2.0		0.0	-4.878422992590404	1.0
samp_08	-0.29520020450669154		0.0	-0.7852163746409418	1.0	-4.262391183241663	1.0	-4.950714476229899	2.0	-1.8261119048137286	1.0	-2.412330498511144	1.0	-0.7634601313045226	1.0	-4.725927989561548	1.0
samp_09	-0.1852523752072191	-2.197923581229755	1.0	-0.755058429276604	2.0	-4.238258184266306	1.0	-4.9263728271516305	2.0		0.0	-2.3867546971165834	1.0		0.0	-4.702053360070948	1.0
samp_10	-0.29969272991486196		0.0		0.0	-4.263346999311551	1.0	-4.951678129789569	2.0		0.0	-2.413339009125214	2.0	-0.7646811089823796	1.0	-4.7268722006451585	2.0
samp_11	0.2533078020073919		0.0		0.0		0.0	-4.814701637724446	3.0	-1.6722618821184132	2.0	-2.2673506791392914	2.0	-0.5817384877215896	1.0		0.0
samp_12	-1.2832987211624562	-2.3867064095359933	1.0	-0.9678558680453309	1.0	-4.417979180500011	3.0	-5.108416942694903	1.0	-1.9946360426314493	1.0		0.0	-0.9517054026886306	1.0		0.0
samp_13	-20.549024959876093	-2.510733690244939	2.0	-1.0978477695447655	2.0		0.0		0.0	-2.1212021966732193	1.0		0.0	-1.085616681222692	1.0	-5.002340870274307	2.0
samp_14	-17.69505178212341	-2.5107282205961727	2.0	-1.097848185047497	1.0	-4.540203894104611	1.0		0.0	-2.121207187536564	1.0		0.0		0.0	-5.00234665173456	3.0
samp_15	0.850377401363364	-1.8643022518217145	2.0	-0.3332152768737516	1.0		0.0	-4.627097700787765	4.0		0.0		0.0		0.0	-4.408087650755276	1.0
samp_16	-19.260833254088606	-2.510736835874067	2.0		0.0	-4.540199360386221	2.0		0.0	-2.1211826505673366	2.0		0.0	-1.0856220640849732	1.0	-5.0023667612549545	1.0
samp_17	-1.3438349752080538	-2.39329272821748	1.0	-0.9749581287686812	1.0		0.0	-5.114937002215709	1.0		0.0	-2.580904533208485	3.0	-0.9590141780407249	2.0		0.0
samp_18	-18.132767704974484	-2.5107233716711437	1.0	-1.0978478659774642	2.0	-4.540204230922802	2.0		0.0		0.0	-2.698247085535936	1.0		0.0	-5.002348226270203	2.0
samp_19	-1.7268093475207502	-2.428066211318294	1.0		0.0		0.0	-5.1495848704160645	1.0	-2.0370459817972897	3.0	-2.615622696481793	2.0	-0.9972965327142943	1.0		0.0
samp_20	-18.719276024779763	-2.5106992390932565	2.0	-1.0978409253944506	1.0	-4.540188956256099	2.0		0.0	-2.1212150576408777	2.0		0.0	-1.0856511828081707	1.0		0.0
samp_21	-1.3024290623365766		0.0	-0.9701413279771551	2.0		0.0	-5.11050942192827	1.0		0.0	-2.576447768773203	2.0	-0.9540543733239819	2.0	-4.882430870677525	1.0
samp_22	-1.2493616461256147		0.0	-0.9637152090702881	3.0	-4.41424727767345	1.0	-5.104626961569628	1.0		0.0	-2.5705165313272214	1.0	-0.9474315612809456	2.0		0.0
samp_23	-18.755415206401622	-2.510717313651201	1.0	-1.0978504201823451	1.0	-4.540200555250751	1.0		0.0	-2.1212123784867085	2.0	-2.698239356425432	2.0		0.0	-5.002355520417204	1.0
samp_24	-18.614528615777942	-2.5107234464688863	1.0	-1.0978463908660108	1.0	-4.54020387661765	1.0		0.0	-2.121216122270621	2.0		0.0	-1.0856200749686298	3.0		0.0
samp_25	-0.2662502198275516	-2.2171055271006583	2.0		0.0	-4.2561818086478125	2.0	-4.944446207960856	2.0		0.0		0.0		0.0	-4.719781657833627	2.0
samp_26	-18.047537130548598		0.0	-1.097846095350471	1.0	-4.5402036604737885	4.0		0.0		0.0	-2.6982480450040573	1.0	-1.085625591399007	1.0	-5.002348902280475	1.0
samp_27	-0.2679232676995144	-2.2174928455523752	2.0	-0.7779536593163474	1.0	-4.256544218449547	1.0	-4.944812206358414	2.0	-1.8196035448198233	1.0		0.0		0.0	-4.7201406870227585	1.0
samp_28	-0.24289730840657128		0.0	-0.7711524431331613	1.0	-4.251095127379698	1.0	-4.93931704524434	2.0		0.0	-2.4003723356588296	1.0	-0.7489691617490838	1.0	-4.714751538973159	2.0
samp_29	-20.70669787978293	-2.5107221613959285	2.0		0.0	-4.540195922680587	1.0		0.0		0.0	-2.6982432938767134	1.0	-1.0856218972682872	1.0	-5.002343585388853	3.0
