run	log_F	b5B8_log_P	b5B8_weight	b5D1_log_P	b5D1_weight	b5F5_log_P	b5F5_weight	b5H1_log_P	b5H1_weight	b5H5_log_P	b5H5_weight	b5H7_log_P	b5H7_weight
fit	1.9260066744088788	-3.7910892002368732	1.0	-7.542106504861033	1.0	-6.51300049266878	1.0	-2.55075051687123	1.0	-6.600260958732806	1.0	-2.143801884009642	1.0
samp_00	1.9356604999231042	-3.7869950952800013	1.0		0.0	-6.510347717162838	1.0	-2.5463196256086866	1.0	-6.597430669933924	1.0	-2.139190517401	2.0
samp_01	2.2259371902944114	-3.662199203601543	1.0	-7.54397969219213	1.0		0.0	-2.409788833734667	1.0	-6.516776434633393	3.0		0.0
samp_02	1.5889158768313727	-3.9311728540847666	1.0	-7.559689057698928	2.0	-6.610782698826589	1.0		0.0		0.0	-2.2991589555200247	2.0
samp_03	1.6776900248989823	-3.894875284811698	1.0	-7.552985440468497	2.0	-6.584161660542716	1.0	-2.662172417210564	1.0		0.0	-2.2593309744153296	1.0
samp_04	2.061878369460322	-3.733109875369322	1.0	-7.541033822919956	1.0		0.0	-2.4877221900385957	2.0	-6.561245271215926	2.0		0.0
samp_05	1.8652640109328291	-3.8167565309455447	1.0	-7.543700024209403	1.0	-6.5298959100675615	2.0	-2.5784671689237646	1.0		0.0	-2.172613061456346	1.0
samp_06	2.0730598267829903	-3.7283064544642524	1.0	-7.541091127098658	1.0	-6.473711951155228	1.0		0.0	-6.558118698763216	2.0	-2.0725987784898536	1.0
samp_07	2.0670679636540856	-3.7308810845388654	1.0		0.0	-6.475264707260083	2.0	-2.4852888972783687	1.0	-6.559792720638901	1.0	-2.075540009110291	1.0
samp_08	2.063528381954787	-3.7323992089147353	2.0		0.0	-6.4761918736090935	1.0	-2.4869473626738796	1.0	-6.560782625025886	2.0		0.0
samp_09	1.369828144424367	-4.018621203273509	2.0	-7.582283064556232	3.0		0.0	-2.7929568528634685	1.0		0.0		0.0
samp_10	1.7302275784201038	-3.873178770509654	3.0	-7.549713409667169	1.0	-6.568673241855179	1.0		0.0	-6.659403991318987	1.0		0.0
samp_11	2.063528381954787	-3.7323992089147353	2.0		0.0	-6.4761918736090935	1.0	-2.4869473626738796	1.0	-6.560782625025886	2.0		0.0
samp_12	1.743524234976677		0.0	-7.548969499941075	1.0		0.0	-2.6331240185742963	2.0		0.0	-2.2292887499880587	3.0
samp_13	1.8334019947517108		0.0	-7.5448055627881905	2.0	-6.5388993243285425	1.0	-2.592887169297757	2.0		0.0	-2.1875856060862833	1.0
samp_14	2.0107211071521425	-3.7550269007864356	2.0		0.0	-6.4900720804472005	2.0	-2.5116189478419746	1.0	-6.575718358175954	1.0		0.0
samp_15	1.9408263664747518		0.0		0.0	-6.508933752283779	1.0	-2.543944867293717	3.0		0.0	-2.1367192441141123	2.0
samp_16	2.0020062076202736	-3.758753431330968	1.0	-7.5410831181583875	1.0	-6.492388810581984	1.0	-2.5156708884889443	2.0	-6.578212720230115	1.0		0.0
samp_17	1.7737324988803438	-3.855101034153269	3.0		0.0	-6.556007597026564	1.0		0.0	-6.645993876575956	1.0	-2.215361096054635	1.0
samp_18	1.9889450931931247		0.0	-7.541200174856784	1.0	-6.495891097223688	1.0	-2.5217304771708036	1.0	-6.58195993531283	1.0	-2.113577369399557	2.0
samp_19	1.7654410705818202	-3.858554369144698	1.0	-7.547810420558356	2.0	-6.558410107319388	1.0	-2.6233729504031404	2.0		0.0		0.0
samp_20	2.141713604273457		0.0	-7.541911495934791	1.0	-6.456234367580101	1.0	-2.4500444993005663	3.0	-6.539220874693945	1.0		0.0
samp_21	1.8332726919947944	-3.830203562818234	1.0	-7.544814723162555	2.0	-6.538937077544119	2.0	-2.5929464867252126	1.0		0.0		0.0
samp_22	1.9888473245596594	-3.764365670532522	1.0	-7.541201875930376	2.0		0.0	-2.521775747136864	1.0	-6.581988256460191	2.0		0.0
