run	log_F	b5B8_log_P	b5B8_weight	b5D1_log_P	b5D1_weight	b5F5_log_P	b5F5_weight	b5H1_log_P	b5H1_weight	b5H5_log_P	b5H5_weight	b5B2_log_P	b5B2_weight	b5C3_log_P	b5C3_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5B9_log_P	b5B9_weight	b5E4_log_P	b5E4_weight	b5F6_log_P	b5F6_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5B3_log_P	b5B3_weight	b5C5_log_P	b5C5_weight	b5F3_log_P	b5F3_weight	b5G9_log_P	b5G9_weight	b5H4_log_P	b5H4_weight	b5G1_log_P	b5G1_weight	b5F8_log_P	b5F8_weight	b5G6_log_P	b5G6_weight	b5G3_log_P	b5G3_weight	b5B5_log_P	b5B5_weight	b5C4_log_P	b5C4_weight	b5C8_log_P	b5C8_weight	b5B7_log_P	b5B7_weight	b5C2_log_P	b5C2_weight	b5C1_log_P	b5C1_weight	b5C9_log_P	b5C9_weight	b5A8_log_P	b5A8_weight	b5C7_log_P	b5C7_weight	b5D5_log_P	b5D5_weight	b5D3_log_P	b5D3_weight	b5D7_log_P	b5D7_weight	b5D2_log_P	b5D2_weight	b5D6_log_P	b5D6_weight	b5D4_log_P	b5D4_weight	b5F7_log_P	b5F7_weight
fit	3.227673814701527	-3.8599357568658883	1.0	-7.765141173087482	1.0	-6.448856316659788	1.0	-2.415655853083	1.0	-6.418860314979346	1.0	-5.861938484013042	1.0	-3.341085121891389	1.0	-1.1718035789470354	1.0	-4.525200814876996	1.0	-4.057050508329005	1.0	-2.199107190499727	1.0	-8.394851489849161	1.0	-1.1189574957870103	1.0	-5.785373047155103	1.0	-2.651623666345927	1.0	-1.3210556941329459	1.0	-5.439994090089603	1.0	-22.388039913623164	1.0	-1.524783860852255	1.0	-4.996962291460972	1.0	-4.99780677571912	1.0	-5.079027059013924	1.0	-5.701602609736525	1.0	-6.426725476035957	1.0	-7.002394784865109	1.0	-7.16083987515055	1.0	-9.656418913543934	1.0	-8.811897854142883	1.0	-9.906686907336898	1.0	-8.87674112902304	1.0	-8.707615211619913	1.0	-8.251588620721547	1.0	-5.236963422992545	1.0	-11.305507743197513	1.0	-7.1729972262000645	1.0	-10.26831563415448	1.0	-10.33020455754996	1.0	-11.560777287512323	1.0	-23.428837454880863	1.0	-8.008667536994693	1.0	-1.8025757313004485	1.0
samp_00	3.3513223885685535	-3.810211975281523	1.0	-7.7607821698939	3.0	-6.431983454978673	1.0	-2.3534078963406824	1.0	-6.401382664216725	1.0	-5.8465372718332835	1.0		0.0	-1.097137029864989	2.0	-4.483222203061468	2.0		0.0	-2.1351591859149126	2.0	-8.385104095669648	2.0	-1.0438360402158005	1.0	-5.760836002292929	1.0	-2.5911713496809003	1.0		0.0	-5.420253912312086	1.0		0.0	-1.455564451818223	2.0	-4.962874184615949	2.0	-4.960697868358459	1.0	-5.038352025774428	2.0		0.0	-6.425637779237396	1.0	-6.986607913505341	3.0		0.0		0.0	-8.811250143804614	4.0		0.0	-8.883039884502558	1.0	-8.70312715227611	1.0		0.0	-5.212507649007625	1.0		0.0		0.0		0.0	-10.316302486298405	2.0		0.0		0.0	-8.020105680104649	1.0		0.0
samp_01	3.271335804076221	-3.8422813947017294	1.0		0.0	-6.4426646737584035	3.0	-2.393749975580994	1.0	-6.412485061360649	1.0		0.0	-3.3216323876217673	2.0		0.0		0.0		0.0		0.0	-8.391325698385774	3.0	-1.0926280739953504	4.0	-5.77642971590777	1.0		0.0	-1.2956670833253894	1.0	-5.432643070038681	2.0	-25.97937439217566	1.0		0.0		0.0	-4.984480093747743	3.0	-5.064468926586027	1.0		0.0	-6.426083870716294	4.0	-6.9966119937565905	1.0		0.0	-9.658146967026234	3.0		0.0	-9.90561775620558	2.0		0.0		0.0	-8.255501483027192	1.0		0.0	-11.291838293686277	1.0		0.0		0.0	-10.324179068070528	2.0	-11.564792465939489	1.0		0.0	-8.012871794745863	2.0		0.0
samp_02	3.1942988050769303	-3.8734736527771156	1.0		0.0	-6.453768550380103	2.0	-2.4324267424330444	3.0		0.0	-5.866600979955896	2.0		0.0	-1.1916352653364501	1.0		0.0	-4.07012515884327	1.0		0.0	-8.397747072505155	3.0	-1.138905037954907	1.0		0.0	-2.66789556847168	2.0	-1.3403081518446895	2.0	-5.445882854600362	1.0		0.0	-1.5432533884555357	1.0		0.0		0.0		0.0	-5.7087516948268915	2.0	-6.427416183453742	2.0	-7.006938468077128	3.0		0.0		0.0	-8.812002769674393	1.0		0.0	-8.874760208393413	2.0	-8.7088618248164	1.0		0.0	-5.244094031365446	2.0	-11.306038271055959	2.0		0.0		0.0		0.0	-11.57403617178238	1.0	-25.225780044072472	2.0	-8.005496562283767	2.0	-1.820221920664573	1.0
samp_03	3.165768688691592	-3.885081254849307	1.0	-7.767623585739711	2.0	-6.458084741169617	2.0		0.0		0.0	-5.870774230510401	3.0		0.0	-1.2084948695080213	2.0		0.0	-4.0813387079237575	1.0	-2.2308622874495967	3.0	-8.400326879956298	1.0	-1.1558475557184036	1.0		0.0	-2.68175457868415	2.0	-1.3567355878217144	3.0	-5.451091513234666	1.0	-23.855024356656145	1.0		0.0		0.0		0.0	-5.0999628196834506	1.0	-5.714977824026339	1.0	-6.42815099181836	1.0	-7.010963042359356	1.0	-7.145262973936998	2.0	-9.653681141287555	1.0		0.0	-9.908286593679383	1.0	-8.87303139941123	1.0	-8.710191575293544	3.0		0.0		0.0	-11.311087628368485	1.0	-7.164444190477978	1.0		0.0	-10.335662664654748	1.0		0.0		0.0	-8.002743345162289	2.0	-1.8352373157818467	1.0
samp_04	3.2071430416421456		0.0	-7.765941632623332	1.0	-6.4518503124062985	1.0		0.0		0.0	-5.864781715601429	2.0	-3.350239403980123	2.0	-1.1840167022806372	3.0	-4.532314056075102	2.0	-4.0650860975581935	2.0	-2.209660209235284	1.0		0.0	-1.1312526657000828	2.0		0.0	-2.6616246809993838	1.0	-1.3329256633423647	2.0	-5.443590964066417	2.0	-19.55223246937662	1.0		0.0		0.0	-5.004169211900609	1.0	-5.085924700625714	1.0		0.0		0.0	-7.005185619975926	1.0		0.0	-9.655671382917054	3.0		0.0	-9.90718501288039	2.0		0.0	-8.708413439640411	3.0		0.0	-5.241326431838077	1.0	-11.298469026454509	1.0	-7.170078095413319	1.0	-10.26398067120184	1.0	-10.330983177494831	1.0	-11.567394576358877	1.0		0.0	-8.006778839934693	1.0	-1.8134406680158994	1.0
samp_05	3.22617992355314	-3.860538776099607	2.0	-7.765158938347408	1.0	-6.449057923558075	1.0		0.0		0.0	-5.862149074750794	1.0	-3.3417565802720435	3.0	-1.1726942573407049	1.0		0.0	-4.057625350109904	2.0	-2.1998767794860745	1.0		0.0	-1.1198531694894187	1.0	-5.785694014519207	1.0	-2.6523482320175162	1.0	-1.3219202943138697	1.0	-5.440254468189329	1.0		0.0	-1.5256170802666378	2.0		0.0	-4.99826691927422	2.0	-5.079514826780209	1.0	-5.701927167367897	1.0	-6.426752656119437	2.0	-7.002596599042235	3.0	-7.160476441619027	1.0		0.0	-8.811839052737161	1.0	-9.907548916982963	1.0		0.0		0.0	-8.251564942993777	1.0	-5.237278980348688	1.0	-11.296900315499718	2.0	-7.1727790680223675	1.0		0.0	-10.328780983901305	1.0	-11.571959605985397	3.0		0.0		0.0	-1.8033714624069546	1.0
samp_06	3.2397760562537923		0.0	-7.764666152293953	1.0	-6.447105602269283	1.0	-2.409606293505792	1.0	-6.417045446687912	2.0	-5.8603013828057655	1.0		0.0		0.0	-4.521019241325211	1.0		0.0		0.0	-8.393894278617307	1.0	-1.1116815523030104	1.0	-5.782861438868781	1.0		0.0		0.0	-5.437903493428779	2.0	-21.69033049107395	1.0	-1.518061175916289	1.0	-4.993524834788889	1.0	-4.994092555916386	3.0	-5.074961518901378	1.0	-5.6990584527498	1.0	-6.426518159514036	2.0	-7.0007626167207935	1.0		0.0		0.0	-8.81182472880604	1.0	-9.906295050133773	1.0	-8.877300977392133	1.0	-8.707133020575956	1.0	-8.252795113946517	1.0	-5.23442814192192	4.0	-11.296399947643465	2.0	-7.174679242425786	1.0	-10.269643755272455	1.0	-10.327669637966137	4.0	-11.56993912916236	1.0		0.0		0.0		0.0
samp_07	3.32039410029839		0.0	-7.76180660261241	2.0		0.0		0.0		0.0	-5.850110032772958	1.0		0.0	-1.1159867808397903	3.0	-4.493568262472302	1.0		0.0		0.0	-8.38734484995314	1.0	-1.0628089921527424	1.0	-5.766687711436264	2.0		0.0	-1.2668233925466454	3.0		0.0	-22.0656704720722	1.0	-1.4730275049645218	3.0	-4.97119799246682	1.0	-4.969957582718537	2.0		0.0	-5.682678604275661	1.0		0.0	-6.9903961391798255	2.0	-7.183579695243207	2.0	-9.658583146382902	1.0	-8.811498433131938	1.0	-9.904166521687316	2.0		0.0	-8.704333485343883	2.0	-8.259774618342925	1.0	-5.2183407893644285	2.0		0.0		0.0	-10.282631823694889	1.0	-10.319620865953658	2.0	-11.563560502452264	3.0		0.0		0.0		0.0
samp_08	3.09984121913901		0.0		0.0		0.0	-2.4794913697073144	1.0		0.0	-5.880976976806168	3.0		0.0	-1.2470845740862686	3.0		0.0	-4.10746256533399	1.0	-2.264440822552579	2.0		0.0	-1.1946903353570626	2.0		0.0	-2.7137166757431386	2.0	-1.3942615948759918	1.0	-5.463796853876232	2.0	-23.953601500539513	3.0	-1.5950207921117396	1.0		0.0		0.0	-5.122714539668335	1.0	-5.729851337073061	1.0	-6.430372044953021	1.0		0.0		0.0	-9.651029500776552	3.0		0.0	-9.911686919825987	1.0	-8.869264832788522	2.0	-8.71297084613068	2.0	-8.239620689156181	2.0	-5.26543981964349	1.0		0.0	-7.155162844482507	1.0	-10.241781146565867	1.0		0.0	-11.5727126633174	1.0	-23.76589301702677	1.0	-7.996157566706262	2.0		0.0
