run	log_F	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
fit	0.4279940315690822	-1.1801666343208537	1.0	-4.523491465454605	1.0	-4.042689444034103	1.0	-2.297411680788488	1.0	-2.7476214992922077	1.0	-1.3492959940036122	1.0	-4.9862208916168145	1.0
samp_00	0.31842864632013146	-1.217170642062185	1.0	-4.5554922767056	2.0	-4.075048830501428	3.0		0.0		0.0	-1.3854341525263063	1.0		0.0
samp_01	0.3844134939059901	-1.1951467972075036	1.0	-4.536387436868949	1.0	-4.0557314616402875	2.0		0.0	-2.761117865620005	2.0	-1.3639209089934068	1.0		0.0
samp_02	0.5029818598344027	-1.1535586666216948	1.0	-4.500804340222867	2.0		0.0	-2.2731175279411273	1.0	-2.723798956514754	1.0	-1.3233540006118643	2.0		0.0
samp_03	0.30916973059594033	-1.2201962435114118	1.0	-4.5581332587857215	2.0	-4.077716708272887	3.0	-2.3342602971276656	1.0		0.0		0.0		0.0
samp_04	0.44026450437552944	-1.1758830890040841	1.0	-4.519822406374427	1.0	-4.038976585541425	1.0		0.0	-2.743775587061824	1.0	-1.3451195135987521	2.0	-4.982606047818963	1.0
samp_05	0.4565981298663182	-1.1701437946472906	1.0		0.0	-4.034003740957745	1.0	-2.2882434187029026	1.0	-2.7386222274899037	3.0	-1.33951753443548	1.0		0.0
samp_06	0.39526622722417426	-1.1914502916941851	1.0	-4.533194467876694	1.0	-4.052505288891077	1.0	-2.3077627664802263	1.0	-2.7577815335585254	1.0		0.0	-4.995783784736749	2.0
samp_07	0.5010150307505341	-1.154269701951887	1.0	-4.501405875500492	1.0		0.0	-2.2737624119020103	1.0	-2.724437182226377	1.0	-1.3240486324522176	2.0	-4.964472564051655	1.0
samp_08	0.5089192238862332	-1.1514064930511014	3.0		0.0		0.0	-2.2711576047122595	1.0	-2.721882460968755	2.0	-1.321256506323373	1.0		0.0
samp_09	0.37231740322062024		0.0	-4.5399248798611005	2.0	-4.059313758156157	2.0	-2.3149299563677412	2.0	-2.7648204149125286	1.0		0.0		0.0
samp_10	0.4611145298758175		0.0	-4.5135485878857935	1.0		0.0		0.0	-2.737192871520807	3.0	-1.337960520569	1.0	-4.976427091656695	2.0
samp_11	0.38871067406005033	-1.1936841858281109	1.0		0.0	-4.054457848826248	1.0		0.0		0.0	-1.3624931738072992	1.0	-4.997686760929671	4.0
samp_12	0.4501676239155301		0.0		0.0	-4.0359664066319985	1.0	-2.290311303556261	2.0	-2.7406563597103353	2.0	-1.3417292834482542	1.0	-4.97967618526815	1.0
samp_13	0.4610668263901275	-1.1685558310102744	1.0	-4.513562879321954	2.0		0.0		0.0	-2.7372094201376567	2.0	-1.3379793166387637	1.0	-4.976443557067304	1.0
samp_14	0.36675411326986895		0.0	-4.541548202482338	2.0	-4.060953606026576	2.0	-2.316654988465227	1.0	-2.7665163591331376	2.0		0.0		0.0
samp_15	0.33525790507332603		0.0	-4.5506675746141365	1.0	-4.0701721596554785	2.0	-2.3263424292147454	1.0		0.0		0.0	-5.0130167291981484	3.0
samp_16	0.36205745596461997		0.0	-4.542914496092237	2.0	-4.062335207897265	2.0		0.0	-2.76794368211194	1.0	-1.3712939388133671	1.0	-5.005367603277343	1.0
samp_17	0.38261285452813304		0.0	-4.536912811949131	2.0	-4.05626699453115	2.0	-2.3117225765701597	1.0	-2.761671216744974	1.0	-1.3645179299759205	1.0		0.0
samp_18	0.4370973193216168	-1.1769908147968868	2.0	-4.520771620246514	1.0	-4.039936238505143	1.0		0.0		0.0	-1.3462007740956712	2.0	-4.98354045025162	1.0
samp_19	0.4689301837793439		0.0	-4.5111848571403845	3.0		0.0		0.0	-2.734710777104339	1.0	-1.3352576519856716	2.0	-4.974098509241878	1.0
samp_20	0.41381330871469435		0.0		0.0	-4.046958399993003	2.0	-2.3019155713246917	2.0	-2.7520416196851354	2.0	-1.354091538508538	1.0		0.0
samp_21	0.5153823020399029		0.0	-4.496989694154722	1.0		0.0		0.0	-2.719789596076844	2.0	-1.3189680535089534	3.0	-4.960132533817011	1.0
samp_22	0.36771283966708707		0.0		0.0	-4.060671380494898	2.0	-2.316357643327354	2.0	-2.7662252477758407	1.0		0.0	-5.003744863279023	2.0
samp_23	0.45887152994955543	-1.1693347516480719	2.0	-4.514225940220572	2.0		0.0		0.0	-2.737903247618956	1.0	-1.3387332605633215	1.0	-4.977093023106554	1.0
samp_24	0.4497197639813871	-1.172566323394141	1.0	-4.51698228700344	1.0	-4.03610277294291	1.0	-2.290456180585717	2.0	-2.740797909576858	1.0	-1.3418773916313096	1.0		0.0
samp_25	0.4492001061141063		0.0	-4.517135936615586	1.0		0.0	-2.290619135654413	1.0	-2.7409607234653315	3.0		0.0	-4.979962447580611	2.0
samp_26	0.44416586273676323	-1.174516719886452	1.0	-4.518652535973509	4.0		0.0	-2.2922392857162013	2.0		0.0		0.0		0.0
samp_27	0.48830335285193277		0.0	-4.505295519502737	1.0		0.0	-2.277936561989065	2.0	-2.728522863248418	2.0	-1.3285103573849804	1.0	-4.96830016238259	1.0
samp_28	0.4145945809931566	-1.1848092982821163	2.0	-4.527478953188527	2.0	-4.046723724276162	1.0	-2.3016681960655125	2.0		0.0		0.0		0.0
samp_29	0.31682567885205837		0.0	-4.555950631318915	2.0	-4.075511046468322	3.0	-2.3319471253916735	1.0	-2.7815474794249706	1.0		0.0		0.0
samp_30	0.47220698432810004	-1.1646020302289688	1.0		0.0		0.0		0.0	-2.7336700297022474	3.0	-1.3341348145384355	1.0	-4.9731228187637955	2.0
samp_31	0.41793374490447627	-1.1836551584113557	1.0		0.0	-4.045720755542141	2.0		0.0		0.0	-1.3527022229545411	3.0	-4.989172829297506	1.0
samp_32	0.4467698271169069	-1.1736013852434446	1.0	-4.517870528826203	1.0	-4.037000937533397	1.0	-2.2914036819642383	1.0		0.0	-1.3428944398410925	2.0	-4.980683231353663	1.0
samp_33	0.4636727157584444		0.0		0.0	-4.031844083245102	2.0	-2.285953292756766	1.0		0.0	-1.3370771027803299	4.0		0.0
samp_34	0.46509245361718177		0.0		0.0	-4.031411603613767	1.0	-2.2854938998763403	5.0	-2.73593079239881	1.0		0.0		0.0
samp_35	0.34957090246877437		0.0	-4.546537075099908	1.0	-4.065996959883714	3.0	-2.3219580915274736	2.0		0.0	-1.3753739138084518	1.0		0.0
samp_36	0.4515406323839483		0.0	-4.5164356976367	2.0	-4.035549046537901	1.0	-2.2898704070693294	1.0	-2.7402225499172657	1.0	-1.341257475511891	2.0		0.0
samp_37	0.35619042965704234	-1.2046641522593182	1.0		0.0	-4.064057929065827	2.0	-2.3199206103825634	1.0	-2.7697228433071426	1.0		0.0	-5.007049626017381	2.0
samp_38	0.4140674368076121	-1.1849910552510314	1.0		0.0	-4.046882536376452	1.0	-2.30183557293026	2.0	-2.7519630377671316	1.0		0.0	-4.990304539029944	2.0
samp_39	0.4944024897147052	-1.1566568582284542	3.0	-4.503427445060268	1.0		0.0	-2.2759390983448755	1.0	-2.726565888774315	1.0	-1.3263752989586084	1.0		0.0
samp_40	0.4087242235708678	-1.1868340566214395	1.0	-4.5292192131186715	2.0	-4.04848459296533	1.0		0.0	-2.753621728669958	1.0	-1.3558031462897238	1.0	-4.991865503993606	1.0
samp_41	0.46708932036492706	-1.1664245451323878	1.0	-4.511741841930651	3.0		0.0		0.0		0.0	-1.3358939998555361	2.0	-4.97465086885222	1.0
samp_42	0.4512315879867599	-1.172032398660049	2.0		0.0	-4.035642961812025	1.0		0.0	-2.740320229284488	1.0	-1.3413635761051133	2.0	-4.9793618492031	1.0
samp_43	0.43427685323596715	-1.1779767485214567	1.0	-4.521615371451785	1.0	-4.040790531126604	1.0	-2.2954072833494963	2.0		0.0	-1.347161853163115	1.0	-4.984372265926295	1.0
samp_44	0.4475786130063139	-1.1733176650858321	1.0		0.0	-4.036754718839804	1.0	-2.291144490108711	2.0	-2.741473405123935	1.0	-1.342616715119354	1.0	-4.980443607529716	1.0
samp_45	0.4561555763428171	-1.170297353849241	1.0	-4.515044081770921	1.0	-4.03414292863304	1.0	-2.28838253402219	3.0		0.0	-1.339668627320934	1.0		0.0
samp_46	0.45439845572558446	-1.1709162700918838	1.0		0.0	-4.034678007981421	2.0		0.0		0.0	-1.3402751757584184	4.0		0.0
samp_47	0.4125854148313931	-1.18550329890014	1.0	-4.528075072460752	1.0	-4.047326712136252	1.0	-2.3023041051638513	1.0		0.0	-1.3545048202008496	1.0	-4.990737728157255	2.0
samp_48	0.514210534616918		0.0		0.0		0.0	-2.269411623326728	4.0	-2.7201683446007134	1.0	-1.3193835528967286	1.0	-4.960487597720096	1.0
samp_49	0.4676870256364474	-1.1662120064863732	2.0		0.0	-4.030614533092434	1.0	-2.2846523787282615	3.0		0.0	-1.3356884709622412	1.0		0.0
samp_50	0.2750056840590202	-1.2312327867502781	1.0		0.0	-4.087473468783586	4.0		0.0		0.0	-1.3991820003142152	1.0	-5.029920416717583	1.0
samp_51	0.36552158694130393	-1.2015344849203402	2.0	-4.541906782558185	2.0	-4.061315706098434	2.0		0.0		0.0	-1.3701561689406692	1.0		0.0
samp_52	0.4562139345192756		0.0		0.0	-4.034125102067908	1.0		0.0	-2.738745286782112	3.0	-1.3396501000124048	2.0	-4.977881808946471	1.0
samp_53	0.4678252617799978	-1.1661632014326118	1.0	-4.511519729917423	1.0		0.0	-2.2846077732873447	2.0	-2.735062377020403	2.0		0.0	-4.974428754855819	1.0
samp_54	0.3109393244806323		0.0	-4.557629422826057	2.0	-4.077207888553831	3.0		0.0		0.0	-1.3878285910426824	1.0	-5.019887735993074	1.0
samp_55	0.4037298891611536	-1.1885500660772566	2.0		0.0	-4.04997929793022	1.0	-2.3051004728435647	1.0	-2.7551678546016047	1.0		0.0	-4.993322181601648	2.0
samp_56	0.48005554772004705		0.0		0.0	-4.026813429267015	1.0		0.0		0.0	-1.3313911070335762	4.0	-4.970774234315699	2.0
samp_57	0.4695671044466492		0.0	-4.510989784539296	1.0		0.0	-2.28404286245636	2.0	-2.7345079785616795	3.0		0.0	-4.973911046175134	1.0
samp_58	0.44895986664364806	-1.1728334896697552	1.0	-4.517211949470353	2.0	-4.036336278072178	1.0	-2.290700441407032	1.0		0.0	-1.342143070376459	2.0		0.0
samp_59	0.46389507717761885	-1.1675578194470737	3.0	-4.512708631249072	1.0		0.0	-2.285881233621794	2.0		0.0		0.0	-4.975599529424948	1.0
samp_60	0.4612165977346992		0.0	-4.513517573138269	1.0		0.0	-2.2867475311548473	3.0	-2.7371606401032142	1.0		0.0	-4.976397237274388	2.0
samp_61	0.4162326109571785		0.0		0.0	-4.046231810596653	2.0	-2.301149697122555	2.0		0.0	-1.3532760536532473	2.0	-4.989671022008579	1.0
